distance,mutual_information_bits,pairs,left_states,right_states
1,1.409963339177805,83541,162,129
2,0.7171884440608763,57030,125,99
3,0.337576774480585,33508,88,81
4,0.15711135894611883,16331,57,64
5,0.1307416483816093,6019,41,44
6,0.19801289679383824,1734,33,34
7,0.39949178063565804,417,19,22
8,0.8219071335845233,104,14,14
