ngram,count,frequency
D1 A1 Q1,2180,0.03825568131964552
J1 B1 A2,2079,0.036483285075019745
A1 Q1 A3,1389,0.02437483548302185
K1 J1 B1,1193,0.020935333859787665
B1 A3 G1,1078,0.018917258927788016
K2 B1 A2,874,0.015337369483197333
A1 Q1 K2,862,0.015126787751162586
D1 A1 Q2,851,0.014933754496797402
A1 B1 A2,828,0.014530139510397473
A1 Q2 A3,806,0.014144073001667106
A1 Q1 J1,777,0.013635167149249802
K1 J1 A1,774,0.013582521716241117
B1 A3 C1,654,0.011476704395893655
K1 J1 A2,639,0.011213477230850224
Q1 A3 G1,587,0.010300956392032991
A1 B1 A3,586,0.010283407914363428
J1 A1 B2,566,0.009932438360972186
Q1 K2 A2,559,0.00980959901728525
K1 A1 B2,556,0.009756953584276563
B1 A3 B2,536,0.009405984030885321
Q1 K2 B1,534,0.009370887075546196
A1 Q2 J1,516,0.009055014477494077
J1 A1 B1,501,0.008791787312450644
L1 J1 B1,495,0.008686496446433272
Q1 J1 B1,477,0.008370623848381152
Q1 A3 F1,471,0.008265332982363779
A1 B2 Q1,429,0.007528296920242169
Q1 A3 B2,419,0.007352812143546547
K1 B1 A2,414,0.007265069755198737
Q1 A3 C1,413,0.007247521277529174
A1 Q1 K1,410,0.007194875844520488
A1 Q2 K1,401,0.007036939545494428
A1 Q2 K2,394,0.006914100201807493
Q1 J1 A1,379,0.00665087303676406
K1 A1 C1,367,0.006440291304729315
J1 B1 A3,361,0.006335000438711942
A1 Q2 A1,341,0.005984030885320698
Q2 J1 B1,338,0.005931385452312012
A1 Q1 A1,337,0.00591383697464245
L1 J1 A1,327,0.005738352197946828
B1 A3 F1,318,0.005580415898920769
B2 K1 J1,306,0.005369834166886023
L1 J1 A2,303,0.005317188733877336
B2 Q1 A3,284,0.004983767658155655
Q2 A3 G1,276,0.004843379836799158
Q2 A3 C1,271,0.004755637448451346
P1 K1 J1,267,0.004685443537773098
Q1 A1 B2,266,0.004667895060103536
Q2 J1 A1,259,0.004545055716416601
