length_glyphs,tokens,frequency
1,925,0.03365716988683914
2,2994,0.10894007204453662
3,6336,0.23054251719244623
4,6880,0.2503365716988684
5,6042,0.2198449950878725
6,2983,0.1085398246188553
7,1007,0.036640832514645415
8,229,0.008332423680093149
9,72,0.0026198013317323436
10,12,0.00043663355528872393
11,3,0.00010915838882218098
