dimension,group,glyph,count,frequency_within_group
scribe,2,Wn,1,3.0314053595246755e-05
scribe,2,Xm,1,3.0314053595246755e-05
scribe,3,A1,5012,0.14212391889975898
scribe,3,A3,3829,0.1085779101091734
scribe,3,A2,3739,0.1060258046221466
scribe,3,B1,3008,0.08529703672196229
scribe,3,Q1,2534,0.07185594782362116
scribe,3,K1,2491,0.07063660853537501
scribe,3,J1,2393,0.06785764922727917
scribe,3,B2,2255,0.06394442081383808
scribe,3,D1,1463,0.04148589252800227
scribe,3,K2,1428,0.04049340706082518
scribe,3,C1,1343,0.03808308521196654
scribe,3,Q2,1334,0.03782787466326386
scribe,3,G1,1035,0.029349213100808166
scribe,3,L1,734,0.020813838083085213
scribe,3,F1,620,0.017581171132851268
scribe,3,P1,395,0.011200907415284277
scribe,3,C2,379,0.01074719977314618
scribe,3,B3,268,0.007599603005813129
scribe,3,F3,209,0.005926556075428895
scribe,3,U1,147,0.004168438962143768
scribe,3,M1,134,0.0037998015029065647
scribe,3,U2,91,0.0025804622146604283
scribe,3,P2,79,0.0022401814830568553
scribe,3,E1,65,0.0018431872961860202
scribe,3,G3,45,0.0012760527435133986
scribe,3,H1,43,0.0012193392882461364
scribe,3,T1,30,0.0008507018290089324
scribe,3,E2,25,0.000708918190840777
scribe,3,F2,21,0.0005954912803062527
scribe,3,B4,17,0.00048206436977172836
scribe,3,X1,13,0.00036863745923720404
scribe,3,T2,7,0.00019849709343541756
scribe,3,U3,7,0.00019849709343541756
scribe,3,U4,5,0.0001417836381681554
scribe,3,W1,5,0.0001417836381681554
scribe,3,W2,5,0.0001417836381681554
scribe,3,G2,4,0.00011342691053452432
scribe,3,Lb,4,0.00011342691053452432
scribe,3,S1,4,0.00011342691053452432
scribe,3,Be,3,8.507018290089324e-05
scribe,3,Ka,3,8.507018290089324e-05
scribe,3,Lg,3,8.507018290089324e-05
scribe,3,T3,3,8.507018290089324e-05
scribe,3,A4,2,5.671345526726216e-05
scribe,3,B5,2,5.671345526726216e-05
scribe,3,Cd,2,5.671345526726216e-05
scribe,3,V1,2,5.671345526726216e-05
scribe,3,Ef,1,2.835672763363108e-05
scribe,3,H3,1,2.835672763363108e-05
scribe,3,Jc,1,2.835672763363108e-05
scribe,3,Kf,1,2.835672763363108e-05
scribe,3,Kj,1,2.835672763363108e-05
scribe,3,Mb,1,2.835672763363108e-05
scribe,3,N1,1,2.835672763363108e-05
scribe,3,Pi,1,2.835672763363108e-05
scribe,3,Pj,1,2.835672763363108e-05
scribe,3,Ra,1,2.835672763363108e-05
scribe,3,S2,1,2.835672763363108e-05
scribe,3,Sb,1,2.835672763363108e-05
scribe,3,Ta,1,2.835672763363108e-05
scribe,3,Tb,1,2.835672763363108e-05
scribe,3,Tr,1,2.835672763363108e-05
scribe,3,U6,1,2.835672763363108e-05
scribe,3,Ug,1,2.835672763363108e-05
scribe,3,Ui,1,2.835672763363108e-05
scribe,3,Uk,1,2.835672763363108e-05
scribe,3,Va,1,2.835672763363108e-05
scribe,3,Vb,1,2.835672763363108e-05
scribe,3,Vd,1,2.835672763363108e-05
scribe,3,Wf,1,2.835672763363108e-05
scribe,3,Xk,1,2.835672763363108e-05
scribe,3,Xm,1,2.835672763363108e-05
scribe,4,A1,2293,0.18790461361960173
scribe,4,A2,1388,0.11374252233057446
scribe,4,A3,1319,0.10808817503892486
scribe,4,B1,919,0.07530935015979677
scribe,4,J1,843,0.06908137343276244
scribe,4,B2,754,0.06178808489715644
scribe,4,Q1,753,0.06170613783495862
scribe,4,K1,734,0.06014914365320003
scribe,4,Q2,612,0.05015160206506597
scribe,4,C1,585,0.04793903138572482
scribe,4,K2,408,0.033434401376710644
scribe,4,C2,400,0.03277882487912808
scribe,4,G1,232,0.019011718429894287
scribe,4,L1,205,0.016799147750553144
scribe,4,P1,110,0.009014176841760223
scribe,4,B3,93,0.007621076784397279
scribe,4,D1,81,0.0066377120380234364
scribe,4,F3,77,0.0063099237892321565
scribe,4,M1,52,0.004261247234286651
scribe,4,P2,50,0.00409735310989101
scribe,4,F1,43,0.003523723674506269
scribe,4,U2,31,0.0025403589281324263
scribe,4,U1,30,0.0024584118659346063
scribe,4,B4,26,0.0021306236171433255
scribe,4,E1,24,0.001966729492747685
scribe,4,G3,24,0.001966729492747685
scribe,4,E2,10,0.0008194706219782021
scribe,4,H1,10,0.0008194706219782021
scribe,4,T1,10,0.0008194706219782021
scribe,4,X1,9,0.0007375235597803819
scribe,4,F2,7,0.0005736294353847415
scribe,4,B5,4,0.00032778824879128084
scribe,4,B6,3,0.00024584118659346063
scribe,4,Ja,3,0.00024584118659346063
scribe,4,Kk,3,0.00024584118659346063
scribe,4,T2,3,0.00024584118659346063
scribe,4,U3,3,0.00024584118659346063
scribe,4,W1,3,0.00024584118659346063
scribe,4,Ag,2,0.00016389412439564042
scribe,4,Ka,2,0.00016389412439564042
scribe,4,Lb,2,0.00016389412439564042
scribe,4,Lp,2,0.00016389412439564042
scribe,4,Pd,2,0.00016389412439564042
scribe,4,Rb,2,0.00016389412439564042
scribe,4,S1,2,0.00016389412439564042
scribe,4,T3,2,0.00016389412439564042
scribe,4,Tb,2,0.00016389412439564042
scribe,4,V2,2,0.00016389412439564042
scribe,4,W2,2,0.00016389412439564042
scribe,4,A4,1,8.194706219782021e-05
scribe,4,Ac,1,8.194706219782021e-05
scribe,4,Cf,1,8.194706219782021e-05
scribe,4,Ci,1,8.194706219782021e-05
scribe,4,G2,1,8.194706219782021e-05
scribe,4,H3,1,8.194706219782021e-05
scribe,4,Jb,1,8.194706219782021e-05
scribe,4,Kb,1,8.194706219782021e-05
scribe,4,Kl,1,8.194706219782021e-05
scribe,4,Lg,1,8.194706219782021e-05
scribe,4,Lh,1,8.194706219782021e-05
scribe,4,Ma,1,8.194706219782021e-05
scribe,4,Mb,1,8.194706219782021e-05
scribe,4,N1,1,8.194706219782021e-05
scribe,4,Pk,1,8.194706219782021e-05
scribe,4,Pl,1,8.194706219782021e-05
scribe,4,Ql,1,8.194706219782021e-05
scribe,4,S2,1,8.194706219782021e-05
scribe,4,Sd,1,8.194706219782021e-05
scribe,4,Tc,1,8.194706219782021e-05
scribe,4,Ub,1,8.194706219782021e-05
scribe,4,Vc,1,8.194706219782021e-05
scribe,4,Xl,1,8.194706219782021e-05
scribe,4,Yd,1,8.194706219782021e-05
scribe,4,Yn,1,8.194706219782021e-05
scribe,4,Yp,1,8.194706219782021e-05
scribe,4,Ys,1,8.194706219782021e-05
scribe,5,A2,266,0.16043425814234016
scribe,5,A1,217,0.13088057901085645
scribe,5,B1,202,0.1218335343787696
scribe,5,J1,169,0.10193003618817853
scribe,5,Q1,124,0.07478890229191798
scribe,5,A3,107,0.06453558504221954
scribe,5,K1,106,0.06393244873341375
scribe,5,B2,96,0.05790108564535585
scribe,5,Q2,90,0.054282267792521106
scribe,5,K2,54,0.032569360675512665
scribe,5,D1,40,0.024125452352231604
scribe,5,C1,36,0.021712907117008445
scribe,5,L1,33,0.019903498190591073
scribe,5,P1,24,0.014475271411338963
scribe,5,G1,20,0.012062726176115802
scribe,5,C2,16,0.009650180940892641
scribe,5,B3,13,0.007840772014475271
scribe,5,F1,11,0.0066344993968636915
scribe,5,U1,7,0.004221954161640531
scribe,5,U2,7,0.004221954161640531
scribe,5,P2,6,0.0036188178528347406
scribe,5,M1,4,0.0024125452352231603
scribe,5,B4,3,0.0018094089264173703
scribe,5,F3,3,0.0018094089264173703
scribe,5,T1,1,0.0006031363088057901
scribe,5,T2,1,0.0006031363088057901
scribe,5,Uj,1,0.0006031363088057901
scribe,5,W2,1,0.0006031363088057901
