ngram,count,frequency
B1 A2,4928,0.058988999413461654
A1 Q1,4201,0.0502866855795358
A1 B2,3965,0.04746172538035216
D1 A1,3802,0.04551058761566177
K1 J1,3128,0.03744269280951868
B1 A3,3096,0.037059647358781915
A3 G1,2902,0.03473743431369029
A1 Q2,2815,0.03369602949449971
J1 B1,2618,0.0313379059384015
A3 C1,2417,0.028931901700961205
Q1 A3,2166,0.025927388946744713
A3 B2,2108,0.02523311906728433
A1 C1,1913,0.02289893585185717
J1 A1,1846,0.02209693443937707
K1 A1,1820,0.02178571001065345
A1 B1,1702,0.020373229911061635
J1 A2,1450,0.017356746986509616
Q1 K2,1396,0.01671035778839133
L1 J1,1366,0.01635125267832561
A3 F1,1258,0.015058474282089035
K2 A2,1250,0.014962712919404843
Q1 J1,1189,0.014232532528937887
Q2 A3,1134,0.013574173160484074
K2 B1,1039,0.012437006978609305
B2 Q1,803,0.00961204677942567
Q2 J1,764,0.00914521013634024
Q1 K1,738,0.008833985707616619
Q2 K1,705,0.008438970086544331
K1 A2,698,0.008355178894195665
L1 A1,666,0.0079721334434589
K1 B1,652,0.007804551058761566
A3 B3,597,0.007146191690307753
Q2 A1,583,0.006978609305610419
Q2 K2,566,0.006775116409906513
K1 K2,555,0.006643444536215751
P1 K1,555,0.006643444536215751
Q1 A1,551,0.006595563854873655
A2 Q1,542,0.00648783232185394
B2 K1,514,0.006152667552459272
Q1 A2,508,0.006080846530446128
C1 A3,491,0.005877353634742222
K2 A1,486,0.005817502783064603
A2 Q2,483,0.005781592272058032
A1 P1,444,0.0053147556289726006
C2 A3,440,0.005266874947630505
A3 F3,438,0.005242934606959457
Q2 A2,370,0.004428963024143834
B2 A1,368,0.004405022683472786
B1 A1,362,0.004333201661459642
A1 C2,360,0.0043092613207885945
L1 K2,351,0.00420152978776888
K1 A3,328,0.003926215870051831
B2 B1,321,0.0038424246777031637
B2 A2,320,0.0038304545073676397
U1 A2,290,0.0034713493973019234
B2 A3,278,0.003327707353275637
U2 A2,278,0.003327707353275637
C2 A1,274,0.003279826671933542
J1 A3,259,0.0031002741169006837
B1 K1,258,0.0030883039465651597
J1 Q1,252,0.0030164829245520166
C1 A1,226,0.0027052584958283956
L1 A2,203,0.0024299445781113464
B2 L1,189,0.002262362193414012
C1 A2,189,0.002262362193414012
U2 A1,178,0.00213069031972325
A2 K1,174,0.002082809638381154
A1 A3,173,0.00207083946804563
P1 A1,167,0.001999018446032487
K2 C2,166,0.001987048275696963
P1 A3,160,0.0019152272536838199
K1 U1,157,0.0018793167426772483
U1 J1,148,0.0017715852096575335
A1 K2,147,0.0017596150393220096
Q1 L1,143,0.001711734357979914
P2 K1,139,0.0016638536766378186
A2 B1,138,0.0016518835063022946
A1 G1,135,0.001615972995295723
Q1 M1,135,0.001615972995295723
A1 B3,133,0.0015920326546246754
A1 J1,131,0.0015680923139536275
A1 U1,130,0.0015561221436181036
M1 A2,129,0.0015441519732825799
Q2 L1,129,0.0015441519732825799
