source_id,language,variant_count,seed,master_key_sha256,reserved_test_encoded,train_active_suffix_count,train_active_suffix_counts_json,train_base_form_preservation_fraction,train_base_form_recovery_accuracy,train_cipher_glyph_alphabet_size,train_exact_cipher_token_recurrence_fraction,train_max_realized_surface_forms_per_plaintext_word,train_mean_realized_surface_forms_per_plaintext_word_present,train_plaintext_types_with_multiple_observed_base_forms,train_round_trip_accuracy,train_same_surface_probability_given_same_plaintext_word,train_suffix_entropy_bits,train_suffix_entropy_fraction_of_max,train_token_coverage_fraction,train_token_length_plus_one_accuracy,train_tokens,train_unique_cipher_tokens,train_unique_plaintext_word_types,validation_active_suffix_count,validation_active_suffix_counts_json,validation_base_form_preservation_fraction,validation_base_form_recovery_accuracy,validation_cipher_glyph_alphabet_size,validation_exact_cipher_token_recurrence_fraction,validation_max_realized_surface_forms_per_plaintext_word,validation_mean_realized_surface_forms_per_plaintext_word_present,validation_plaintext_types_with_multiple_observed_base_forms,validation_round_trip_accuracy,validation_same_surface_probability_given_same_plaintext_word,validation_suffix_entropy_bits,validation_suffix_entropy_fraction_of_max,validation_token_coverage_fraction,validation_token_length_plus_one_accuracy,validation_tokens,validation_unique_cipher_tokens,validation_unique_plaintext_word_types
french_profiterole_ud218,French,4,40814041438,d0fa882539ca63aae8d85c461c80cd3d6241f554785a3212445214f38cb08a41,False,4,"{""V0001"": 3559, ""V0002"": 3544, ""V0003"": 3505, ""V0004"": 3448}",1.0,1.0,36,0.6514655663062038,4,1.6657599455967358,0,1.0,0.2499232571945535,1.9998922426786263,0.9999461213393132,1.0,1.0,14056,4899,2941,4,"{""V0001"": 776, ""V0002"": 760, ""V0003"": 729, ""V0004"": 689}",1.0,1.0,35,0.4631008801624915,4,1.4365942028985508,0,1.0,0.2513323602294715,1.9985323893645437,0.9992661946822718,1.0,1.0,2954,1586,1104
french_profiterole_ud218,French,4,40814041439,7c98e85345c90c2fd0811d00a61dca814e4ed3bd17b953d4c43f347ad1ff97ae,False,4,"{""V0001"": 3556, ""V0002"": 3555, ""V0003"": 3535, ""V0004"": 3410}",1.0,1.0,36,0.6518212862834377,4,1.6640598435906155,0,1.0,0.24955002346233787,1.9997839153804136,0.9998919576902068,1.0,1.0,14056,4894,2941,4,"{""V0001"": 758, ""V0002"": 720, ""V0003"": 737, ""V0004"": 739}",1.0,1.0,35,0.46276235612728506,4,1.4375,0,1.0,0.24922774024915986,1.9997604052440967,0.9998802026220484,1.0,1.0,2954,1587,1104
french_profiterole_ud218,French,4,40814041440,5608243719a71003f9401a84f6ec0272d5780eebb22c81a90aa27b6e2d7895cd,False,4,"{""V0001"": 3501, ""V0002"": 3484, ""V0003"": 3566, ""V0004"": 3505}",1.0,1.0,36,0.6508964143426295,4,1.6684801088065284,0,1.0,0.24957706938496219,1.9999438667267304,0.9999719333633652,1.0,1.0,14056,4907,2941,4,"{""V0001"": 728, ""V0002"": 708, ""V0003"": 739, ""V0004"": 779}",1.0,1.0,35,0.46411645226811105,4,1.4338768115942029,0,1.0,0.24753046607148918,1.9991186498279379,0.9995593249139689,1.0,1.0,2954,1583,1104
french_profiterole_ud218,French,4,40814041441,7971f4cf9f025665fffa6a72d9eb4560281c2b5dc0611c54b617d45358ed6cf9,False,4,"{""V0001"": 3565, ""V0002"": 3489, ""V0003"": 3569, ""V0004"": 3433}",1.0,1.0,36,0.6521770062606717,4,1.662359741584495,0,1.0,0.24977585691625095,1.999812534170705,0.9999062670853525,1.0,1.0,14056,4889,2941,4,"{""V0001"": 763, ""V0002"": 717, ""V0003"": 727, ""V0004"": 747}",1.0,1.0,35,0.46547054840893703,4,1.4302536231884058,0,1.0,0.24654604704844021,1.9995815682234492,0.9997907841117246,1.0,1.0,2954,1579,1104
french_profiterole_ud218,French,4,40814041442,17e2319abcfff2f5c68e86c1bd37e15fbc793d458e37ef747ac6b4e199143a94,False,4,"{""V0001"": 3478, ""V0002"": 3570, ""V0003"": 3443, ""V0004"": 3565}",1.0,1.0,36,0.6531018782014798,4,1.6579394763685822,0,1.0,0.2507116458390524,1.9998235255084327,0.9999117627542163,1.0,1.0,14056,4876,2941,4,"{""V0001"": 719, ""V0002"": 785, ""V0003"": 743, ""V0004"": 707}",1.0,1.0,35,0.46614759647935006,4,1.4284420289855073,0,1.0,0.25204521538409314,1.9988331745011523,0.9994165872505761,1.0,1.0,2954,1577,1104
german_rem_v21,German,1,40814041438,c37d5c2787574baa2e44f4abc0b9f834e6b0edd1ad11d779a079137ef8ae904c,False,1,"{""V0001"": 14137}",1.0,1.0,45,0.7640234844733678,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,14137,3336,3336,1,"{""V0001"": 2963}",1.0,1.0,41,0.6024299696253796,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,2963,1178,1178
german_rem_v21,German,1,40814041439,a25f75425bd61001e06bc4939d6baa2d22d7350fcff0def30960e1d520500440,False,1,"{""V0003"": 14137}",1.0,1.0,45,0.7640234844733678,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,14137,3336,3336,1,"{""V0003"": 2963}",1.0,1.0,41,0.6024299696253796,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,2963,1178,1178
german_rem_v21,German,1,40814041440,cffa07927909bff8b741f6b9bb216d0ca07baa2e4bf7c38137cdf287ddf84160,False,1,"{""V0004"": 14137}",1.0,1.0,45,0.7640234844733678,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,14137,3336,3336,1,"{""V0004"": 2963}",1.0,1.0,41,0.6024299696253796,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,2963,1178,1178
german_rem_v21,German,1,40814041441,31ee1a0a9dd94a1540671895560eb2352d4c3d3b87da4f49a244f4918ec812f2,False,1,"{""V0004"": 14137}",1.0,1.0,45,0.7640234844733678,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,14137,3336,3336,1,"{""V0004"": 2963}",1.0,1.0,41,0.6024299696253796,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,2963,1178,1178
german_rem_v21,German,1,40814041442,effd6dff2eb82be44f5144da92aea17546d49318cee191d360e79eb2b08998a6,False,1,"{""V0001"": 14137}",1.0,1.0,45,0.7640234844733678,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,14137,3336,3336,1,"{""V0001"": 2963}",1.0,1.0,41,0.6024299696253796,1,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,2963,1178,1178
german_rem_v21,German,2,40814041438,c37d5c2787574baa2e44f4abc0b9f834e6b0edd1ad11d779a079137ef8ae904c,False,2,"{""V0001"": 7100, ""V0002"": 7037}",1.0,1.0,46,0.7000778100021221,2,1.2709832134292567,0,1.0,0.5006155891561905,0.9999856744084749,0.9999856744084749,1.0,1.0,14137,4240,3336,2,"{""V0001"": 1503, ""V0002"": 1460}",1.0,1.0,42,0.5197435032062099,2,1.2079796264855687,0,1.0,0.5015381831342743,0.9998480735476237,0.9998480735476237,1.0,1.0,2963,1423,1178
german_rem_v21,German,2,40814041439,a25f75425bd61001e06bc4939d6baa2d22d7350fcff0def30960e1d520500440,False,2,"{""V0003"": 7158, ""V0004"": 6979}",1.0,1.0,46,0.7011388554856052,2,1.2664868105515588,0,1.0,0.5001317714807181,0.9998843494521821,0.9998843494521821,1.0,1.0,14137,4225,3336,2,"{""V0003"": 1476, ""V0004"": 1487}",1.0,1.0,42,0.5187310158623017,2,1.2105263157894737,0,1.0,0.4976927252985885,0.9999900581407994,0.9999900581407994,1.0,1.0,2963,1426,1178
german_rem_v21,German,2,40814041440,cffa07927909bff8b741f6b9bb216d0ca07baa2e4bf7c38137cdf287ddf84160,False,2,"{""V0001"": 7106, ""V0004"": 7031}",1.0,1.0,46,0.6997241281742944,2,1.2724820143884892,0,1.0,0.4993824441052913,0.9999796972628837,0.9999796972628837,1.0,1.0,14137,4245,3336,2,"{""V0001"": 1469, ""V0004"": 1494}",1.0,1.0,42,0.5217684778940264,2,1.2028862478777589,0,1.0,0.49791892870068766,0.999948646930133,0.999948646930133,1.0,1.0,2963,1417,1178
