source_id,language,family,control_seed,relation,competitor,selected_hyperparameter,bootstrap_units,bootstrap_replicates,bootstrap_seed,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event,relative_nll_reduction_trigram_vs_competitor,ci_95_lower,ci_95_upper,bootstrap_probability_trigram_better,bootstrap_probability_competitor_better,direction_match_voynich,strong_direction_match_voynich,variant_count,phase3a3_mechanism
french_profiterole_ud218,French,base_form_suffix_K1,40814041441,token_markov,exact_token_markov,1,387,10000,3782560875770100479,1.7849606342830864,2.2681541059770347,-0.48319347169394833,-0.2707025927706348,-0.5177768412683349,-0.45039114703509325,0.0,1.0,False,False,1,base_form_suffix_variation
french_profiterole_ud218,French,base_form_suffix_K1,40814041441,copy_edit,local_copy_edit,16,387,10000,3468709350018182378,3.722033035043478,2.2681541059770347,1.4538789290664433,0.3906141926678145,1.4235059728371882,1.4828380808093957,1.0,0.0,True,True,1,base_form_suffix_variation
french_profiterole_ud218,French,base_form_suffix_K1,40814041442,hmm_space_free,categorical_hmm,16,387,10000,2788050965657019856,3.085326939344043,2.6976551905180037,0.38767174882603905,0.1256501357708496,0.3626213293708805,0.4112419364151559,1.0,0.0,True,True,1,base_form_suffix_variation
french_profiterole_ud218,French,base_form_suffix_K1,40814041442,hmm_token_aware,categorical_hmm,16,387,10000,6496678987115504826,2.637641854517274,2.3100299268155906,0.32761192770168357,0.12420637287833791,0.3066987532863653,0.3479480392048536,1.0,0.0,True,True,1,base_form_suffix_variation
french_profiterole_ud218,French,base_form_suffix_K1,40814041442,slot_grammar,finite_template_slot_grammar,16,387,10000,4598975437482704561,2.7091183354108748,2.2681541059770347,0.44096422943384006,0.1627703831427364,0.42007951813207545,0.46216192350888885,1.0,0.0,True,True,1,base_form_suffix_variation
french_profiterole_ud218,French,base_form_suffix_K1,40814041442,token_markov,exact_token_markov,1,387,10000,4837130586372827421,1.7849606342830864,2.2681541059770347,-0.48319347169394833,-0.2707025927706348,-0.5175828253009374,-0.4495698768699707,0.0,1.0,False,False,1,base_form_suffix_variation
french_profiterole_ud218,French,base_form_suffix_K1,40814041442,copy_edit,local_copy_edit,16,387,10000,7039223280618078280,3.722033035043478,2.2681541059770347,1.4538789290664433,0.3906141926678145,1.4236559181573296,1.4833162296501374,1.0,0.0,True,True,1,base_form_suffix_variation
french_profiterole_ud218,French,base_form_suffix_K2,40814041438,hmm_space_free,categorical_hmm,16,387,10000,2595396521073091882,3.2938936855696523,2.9047589071802706,0.3891347783893817,0.11813823260117884,0.36392711894897045,0.4139823446641937,1.0,0.0,True,True,2,base_form_suffix_variation
french_profiterole_ud218,French,base_form_suffix_K2,40814041438,hmm_token_aware,categorical_hmm,16,387,10000,8253664209395132617,2.8203729895572893,2.482587082446132,0.3377859071111575,0.11976639556606283,0.31701098481093465,0.3588746017754761,1.0,0.0,True,True,2,base_form_suffix_variation
french_profiterole_ud218,French,base_form_suffix_K2,40814041438,slot_grammar,finite_template_slot_grammar,16,387,10000,2289872768547933486,2.887484899709058,2.4368672047125632,0.45061769499649484,0.15605889230516812,0.4301694723179149,0.4717932000660048,1.0,0.0,True,True,2,base_form_suffix_variation
french_profiterole_ud218,French,base_form_suffix_K2,40814041438,token_markov,exact_token_markov,1,387,10000,4973802565599807249,2.1208423915495356,2.4368672047125632,-0.31602481316302766,-0.1490090986592043,-0.3468780868247729,-0.28628387704920066,0.0,1.0,False,False,2,base_form_suffix_variation
french_profiterole_ud218,French,base_form_suffix_K2,40814041438,copy_edit,local_copy_edit,16,387,10000,1035764465603459289,3.9042320167291833,2.4368672047125632,1.46736481201662,0.37583955198593,1.4385654687295475,1.4960515814420472,1.0,0.0,True,True,2,base_form_suffix_variation
french_profiterole_ud218,French,base_form_suffix_K2,40814041439,hmm_space_free,categorical_hmm,16,387,10000,4970646691018052836,3.3030612277969,2.9041715306421643,0.39888969715473577,0.1207636400433274,0.3738310429067085,0.42395870039938477,1.0,0.0,True,True,2,base_form_suffix_variation
