source_id,language,family,control_seed,full_run_direction_match,full_run_strong_direction_match,reused_existing_result
italian_old_ud218,Italian,transposition,40814041438,False,False,False
italian_old_ud218,Italian,transposition,40814041439,False,False,False
italian_old_ud218,Italian,transposition,40814041440,False,False,False
italian_old_ud218,Italian,transposition,40814041441,False,False,False
italian_old_ud218,Italian,transposition,40814041442,False,False,False
italian_old_ud218,Italian,syllabic_hybrid,40814041438,False,False,False
italian_old_ud218,Italian,syllabic_hybrid,40814041439,False,False,False
italian_old_ud218,Italian,syllabic_hybrid,40814041440,False,False,False
italian_old_ud218,Italian,syllabic_hybrid,40814041441,False,False,False
italian_old_ud218,Italian,syllabic_hybrid,40814041442,False,False,False
latin_udante_ud218,Latin,monoalphabetic,40814041438,False,False,False
latin_udante_ud218,Latin,monoalphabetic,40814041439,False,False,False
latin_udante_ud218,Latin,monoalphabetic,40814041440,False,False,False
latin_udante_ud218,Latin,monoalphabetic,40814041441,False,False,False
latin_udante_ud218,Latin,monoalphabetic,40814041442,False,False,False
latin_udante_ud218,Latin,homophonic,40814041438,True,True,False
latin_udante_ud218,Latin,homophonic,40814041439,True,True,False
latin_udante_ud218,Latin,homophonic,40814041440,True,True,False
latin_udante_ud218,Latin,homophonic,40814041441,True,True,False
latin_udante_ud218,Latin,homophonic,40814041442,True,False,False
latin_udante_ud218,Latin,verbose,40814041438,False,False,False
latin_udante_ud218,Latin,verbose,40814041439,False,False,False
latin_udante_ud218,Latin,verbose,40814041440,False,False,False
latin_udante_ud218,Latin,verbose,40814041441,False,False,False
latin_udante_ud218,Latin,verbose,40814041442,False,False,False
latin_udante_ud218,Latin,null_insertion,40814041438,False,False,False
latin_udante_ud218,Latin,null_insertion,40814041439,False,False,False
latin_udante_ud218,Latin,null_insertion,40814041440,False,False,False
latin_udante_ud218,Latin,null_insertion,40814041441,False,False,False
latin_udante_ud218,Latin,null_insertion,40814041442,False,False,False
latin_udante_ud218,Latin,nomenclator,40814041438,False,False,False
latin_udante_ud218,Latin,nomenclator,40814041439,False,False,False
latin_udante_ud218,Latin,nomenclator,40814041440,False,False,False
latin_udante_ud218,Latin,nomenclator,40814041441,False,False,False
latin_udante_ud218,Latin,nomenclator,40814041442,False,False,False
latin_udante_ud218,Latin,transposition,40814041438,False,False,False
latin_udante_ud218,Latin,transposition,40814041439,False,False,False
latin_udante_ud218,Latin,transposition,40814041440,False,False,False
latin_udante_ud218,Latin,transposition,40814041441,False,False,False
latin_udante_ud218,Latin,transposition,40814041442,False,False,False
latin_udante_ud218,Latin,syllabic_hybrid,40814041438,False,False,False
latin_udante_ud218,Latin,syllabic_hybrid,40814041439,False,False,False
latin_udante_ud218,Latin,syllabic_hybrid,40814041440,False,False,False
latin_udante_ud218,Latin,syllabic_hybrid,40814041441,False,False,False
latin_udante_ud218,Latin,syllabic_hybrid,40814041442,False,False,False
