source_id,language,family,control_seed,relation,competitor,selected_hyperparameter,bootstrap_units,bootstrap_replicates,bootstrap_seed,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event,relative_nll_reduction_trigram_vs_competitor,ci_95_lower,ci_95_upper,bootstrap_probability_trigram_better,bootstrap_probability_competitor_better,direction_match_voynich,strong_direction_match_voynich
german_rem_v21,German,monoalphabetic,40814041439,hmm_space_free,categorical_hmm,16,657,10000,2933354914888673865,3.4601124854216017,3.0773443336205575,0.3827681518010442,0.11062303708730592,0.35447417601204884,0.4107330547577839,1.0,0.0,True,True
german_rem_v21,German,monoalphabetic,40814041439,hmm_token_aware,categorical_hmm,16,657,10000,7384182505776428698,3.220786456884902,2.765709252977746,0.4550772039071558,0.14129381441429056,0.4279219487551822,0.4811753963754779,1.0,0.0,True,True
german_rem_v21,German,monoalphabetic,40814041439,slot_grammar,finite_template_slot_grammar,16,657,10000,713731430131696620,3.3073523015299293,2.7212344293238715,0.5861178722060578,0.17721664303344065,0.5623516805718688,0.6097985121603506,1.0,0.0,True,True
german_rem_v21,German,monoalphabetic,40814041439,token_markov,exact_token_markov,1,657,10000,8551799949077933354,2.4497361197426466,2.7212344293238715,-0.2714983095812249,-0.11082757338359639,-0.30371341027805654,-0.23984563571684767,0.0,1.0,False,False
german_rem_v21,German,monoalphabetic,40814041439,copy_edit,local_copy_edit,16,657,10000,8235676286924372034,3.828152414035647,2.7212344293238715,1.1069179847117754,0.289152015121796,1.0725864299245178,1.1405884053750845,1.0,0.0,True,True
