replicate,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event
0,2.6479582724680877,2.6114645328554174,0.03649373961267033
1,2.86489175275809,2.8722116846208405,-0.007319931862750373
2,2.634038853336661,2.5881087038502537,0.0459301494864075
3,2.5099201683628793,2.445909092758806,0.06401107560407349
4,2.585247935566639,2.527699180508533,0.05754875505810597
5,2.7285533257002315,2.697468181303055,0.031085144397176467
6,2.653995130832593,2.6258924142783435,0.02810271655424934
7,2.7915697227967535,2.7804131339699945,0.011156588826759073
8,2.809193305514248,2.7938410276870576,0.015352277827190619
9,2.6768510680356203,2.647519019134153,0.029332048901467456
10,2.750156146827678,2.7466320511199465,0.0035240957077316004
11,2.826443833788702,2.8125928172480874,0.013851016540614491
12,2.5376410857427683,2.4848585053250334,0.05278258041773487
13,2.603706557112161,2.562766826787024,0.04093973032513709
14,2.728136803008436,2.724864934871499,0.0032718681369368063
15,2.8058628037176567,2.7678669587364215,0.037995844981235205
16,2.728010201653399,2.7078444825684214,0.020165719084977773
17,2.6213878683691023,2.567173758918461,0.05421410945064142
18,2.698810032521667,2.6927253369900095,0.00608469553165758
19,2.6117667318871463,2.558718688940712,0.05304804294643439
20,2.587531994532516,2.544494061321609,0.04303793321090721
21,2.6085340186468637,2.561473249191472,0.04706076945539195
22,2.6231822001287752,2.570255283679977,0.05292691644879843
23,2.6397680725982227,2.595291248492555,0.04447682410566767
24,2.6149119344916683,2.5588366000533758,0.05607533443829249
25,2.726751082549533,2.7081065055604028,0.018644576989130357
26,2.743602363317302,2.7315504436316957,0.012051919685606372
27,2.6854669772252437,2.66874158893883,0.01672538828641379
28,2.7190920204292186,2.6898488385721016,0.02924318185711705
29,2.6951564438019178,2.6606740093848305,0.034482434417087315
30,2.936552711470128,2.948124497490595,-0.011571786020466934
31,2.614272075810248,2.561448622935486,0.0528234528747622
32,2.5754729882293144,2.5115844363765243,0.06388855185279008
33,2.6524966353165813,2.626594045873209,0.025902589443372204
34,2.6414255211078643,2.61615818429826,0.025267336809604135
35,2.6137452969746877,2.564292377317581,0.04945291965710652
36,2.6438724136495204,2.607002366404804,0.03687004724471654
37,2.7012669480954994,2.647704090171402,0.05356285792409743
38,2.5150245858413722,2.449279081920864,0.06574550392050815
39,2.657060873435429,2.602872263041078,0.05418861039435097
40,2.726237790850016,2.690172368614556,0.03606542223545972
41,2.6418294080941083,2.596427778981566,0.045401629112542086
42,2.7720978897534487,2.750163016160834,0.02193487359261459
43,2.7192215330375666,2.6789867467197532,0.04023478631781341
44,2.7580375431995763,2.7302088578694064,0.02782868533016991
45,2.6635251780741847,2.6192548048946667,0.044270373179517986
46,2.6825514213959667,2.6506219197241707,0.03192950167179598
47,2.6279004073830823,2.5732396632825676,0.05466074410051469
48,2.7760303428369735,2.737409638449334,0.03862070438763965
49,2.6870030204842394,2.6637128997314856,0.02329012075275383
50,2.6903156235603296,2.642116290489843,0.04819933307048663
