leaf_group,feature,feature_value,comparison_group,other_mean,other_median,other_population_sd,descriptive_z_vs_others,percentile_rank_among_all15
f57,boundary_pair_count,261.0,other_14,336.7857142857143,194.5,280.36485885651337,-0.2703110318276382,0.6333333333333333
f57,final_glyph_entropy_bits,3.8571690785273285,other_14,2.5977991811355223,2.58967510106456,0.3228418610047301,3.9008878634030504,0.9666666666666667
f57,initial_glyph_entropy_bits,4.3085960319561565,other_14,3.04432397129924,3.0982794284459336,0.16617489368769583,7.608081056052618,0.9666666666666667
f57,boundary_pair_entropy_bits,6.449863207502351,other_14,5.08583775747877,5.043820212502183,0.3006808660199988,4.536455771458558,0.9666666666666667
f57,initial_given_final_conditional_entropy_bits,2.5926941289750225,other_14,2.488038576343247,2.441713202683132,0.19159733728303432,0.5462265505139811,0.7
f57,final_given_initial_conditional_entropy_bits,2.1412671755461945,other_14,2.0415137861795296,2.042963933299575,0.22722476706695077,0.4390075547410419,0.6333333333333333
f57,final_initial_mutual_information_bits,1.715901902981133,other_14,0.5562853949559937,0.5419413573598728,0.17175822746021238,6.751446642017562,0.9666666666666667
f57,normalized_mutual_information_joint_fraction,0.26603694493632524,other_14,0.10891127922788667,0.11224959209042623,0.030611676516516362,5.132867049070712,0.9666666666666667
f57,distinct_final_glyphs,27.0,other_14,13.785714285714286,14.0,3.004248692116156,4.398532567880634,0.9666666666666667
f57,distinct_initial_glyphs,32.0,other_14,16.857142857142858,16.5,2.7217941261796645,5.563557139463666,0.9666666666666667
f57,distinct_boundary_pairs,122.0,other_14,63.642857142857146,60.0,16.25074566578031,3.5910440085236988,0.9666666666666667
f57,effective_final_glyphs,14.491842019096714,other_14,6.205961715105391,6.028276237053357,1.3786203676727409,6.010269758293778,0.9666666666666667
f57,effective_initial_glyphs,19.816029714810206,other_14,8.301730041704888,8.563985365840724,0.886232812120132,12.992409574138533,0.9666666666666667
f57,effective_boundary_pairs,87.41828727036172,other_14,34.70829334420326,32.99213342444041,7.278962964179671,7.241415320499408,0.9666666666666667
f57,possible_boundary_pairs_from_observed_marginals,864.0,other_14,233.85714285714286,225.0,66.96892364891254,9.409481634293664,0.9666666666666667
f57,observed_pair_support_fraction,0.1412037037037037,other_14,0.2792051251824767,0.2831959706959707,0.043782361917874484,-3.151986677594771,0.03333333333333333
f57,max_boundary_pair_probability,0.04980842911877394,other_14,0.12728921021126025,0.11190701190701191,0.05330107443608514,-1.4536438882746303,0.03333333333333333
f57,top5_boundary_pair_probability_mass,0.20306513409961685,other_14,0.37669855415298564,0.3603731815306768,0.07814732780626074,-2.221872774509101,0.03333333333333333
f57,boundary_pair_simpson_concentration,0.016602809706258045,other_14,0.04847885124671027,0.04148295426391162,0.01686760683304278,-1.8897785474824254,0.03333333333333333
f57,boundary_pair_effective_simpson_pairs,60.230769230769006,other_14,23.077414716786738,24.110231118151045,7.487620299681726,4.961970963666725,0.9666666666666667
f57,boundary_boost_bits_per_event,0.1570116993157174,other_14,0.044278521747052206,0.046750374152064095,0.018069306047776883,6.238932323720039,0.9666666666666667
f57,space_free_delta_bits_per_event,-0.3289650914428249,other_14,0.021489007039149768,0.03272079544618261,0.06435826800022139,-5.445362489878831,0.03333333333333333
f57,token_aware_delta_bits_per_event,-0.17195339212710747,other_14,0.06576752878620197,0.07282586043234601,0.0631148748332855,-3.7664801133050854,0.03333333333333333
f49,boundary_pair_count,210.0,other_14,340.42857142857144,194.5,279.0219433986495,-0.4674491541413396,0.5666666666666667
f49,final_glyph_entropy_bits,2.742093678810574,other_14,2.677447423972434,2.58967510106456,0.4579109380980112,0.14117648096954447,0.5666666666666667
f49,initial_glyph_entropy_bits,2.725584915471676,other_14,3.157396193905275,3.105560741599063,0.3489158726261466,-1.237579922012526,0.1
f49,boundary_pair_entropy_bits,5.069579563226721,other_14,5.1844294463556,5.093155183219757,0.46213343531317613,-0.24852104252324447,0.5
f49,initial_given_final_conditional_entropy_bits,2.3274858844161472,other_14,2.5069820223831663,2.485783883434344,0.18786112174703584,-0.9554725123419593,0.16666666666666666
f49,final_given_initial_conditional_entropy_bits,2.3439946477550455,other_14,2.027033252450326,2.042963933299575,0.2135341712085872,1.4843591239319789,0.9
