target_count,language,seeds,mean_validation_targeted_token_fraction,mean_validation_mean_realized_variants_per_target_word_present,mean_validation_targeted_variant_utilization_fraction,mean_validation_same_surface_probability_given_same_target_plaintext_word,mean_validation_exact_cipher_token_recurrence_fraction
64,French,5,0.46953283683141506,3.690625,0.92265625,0.24962236182678055,0.5679756262694651
64,German,5,0.42996962537968275,3.71875,0.9296875,0.24912786507135648,0.5437057036787041
64,Italian,5,0.47575221238938054,3.609375,0.90234375,0.2494091505908494,0.5532743362831859
64,Latin,5,0.36220747467691233,3.4806451612903224,0.8701612903225806,0.2515468506565769,0.48347886831994413
256,French,5,0.6357481381178064,2.5348017621145376,0.6337004405286344,0.24938110749185669,0.5083276912660799
256,German,5,0.6172797840027,2.5991452991452992,0.6497863247863248,0.24933815783447077,0.47613904826189674
256,Italian,5,0.6389380530973451,2.5081818181818183,0.6270454545454546,0.24942181340341654,0.4949380530973451
256,Latin,5,0.5186866922808243,2.4577981651376146,0.6144495412844037,0.2514604212444397,0.42619629758994065
1024,French,5,0.7907921462423833,1.8510396975425332,0.4627599243856333,0.249474650617158,0.4738659444820582
1024,German,5,0.7556530543368208,1.872936660268714,0.4682341650671785,0.24931444656315263,0.4489368882888964
1024,Italian,5,0.7614159292035398,1.8167364016736403,0.45418410041841006,0.2494290855553738,0.4741946902654867
1024,Latin,5,0.6653859587844918,1.8887949260042283,0.47219873150105707,0.2514291741377492,0.39035976248690185
