source_id,language,target_count,seed,master_codebook_sha256,reserved_test_encoded,train_active_target_word_types,train_cipher_glyph_alphabet_size,train_exact_cipher_token_recurrence_fraction,train_max_realized_variants_per_target_word,train_mean_pairwise_hamming_distance_within_variant_family,train_mean_realized_variants_per_target_word_present,train_round_trip_accuracy,train_same_surface_probability_given_same_target_plaintext_word,train_target_code_collision_count,train_targeted_token_fraction,train_targeted_tokens,train_targeted_variant_utilization_fraction,train_tokens,train_unique_cipher_tokens,validation_active_target_word_types,validation_cipher_glyph_alphabet_size,validation_exact_cipher_token_recurrence_fraction,validation_max_realized_variants_per_target_word,validation_mean_pairwise_hamming_distance_within_variant_family,validation_mean_realized_variants_per_target_word_present,validation_round_trip_accuracy,validation_same_surface_probability_given_same_target_plaintext_word,validation_target_code_collision_count,validation_targeted_token_fraction,validation_targeted_tokens,validation_targeted_variant_utilization_fraction,validation_tokens,validation_unique_cipher_tokens
french_profiterole_ud218,French,64,40814041438,90ce1eef08c4d2f75b88d6f6605e1bd90d6bf946dd21c5cc80b363c891a1b399,False,64,48,0.7771058622652248,4,1.0,4.0,1.0,0.24978647215778071,0,0.48050654524758113,6754,1.0,14056,3133,64,47,0.5677048070412999,4,1.0,3.703125,1.0,0.24906472788875555,0,0.46953283683141506,1387,0.92578125,2954,1277
french_profiterole_ud218,French,64,40814041439,16c368e180f32b76289ffe55abb5a6f074719c0cfa786b9eccc32c3b960b7ca6,False,64,48,0.7771058622652248,4,1.0,4.0,1.0,0.2496039459109244,0,0.48050654524758113,6754,1.0,14056,3133,64,47,0.5677048070412999,4,1.0,3.703125,1.0,0.24920590103762263,0,0.46953283683141506,1387,0.92578125,2954,1277
french_profiterole_ud218,French,64,40814041440,b2d9c36d1e2abc4bb31d5df56c071cbbcb54ded8b774afd582c920400c40da4b,False,64,48,0.7771058622652248,4,1.0,4.0,1.0,0.2502365177893424,0,0.48050654524758113,6754,1.0,14056,3133,64,47,0.5677048070412999,4,1.0,3.703125,1.0,0.24821768899555305,0,0.46953283683141506,1387,0.92578125,2954,1277
french_profiterole_ud218,French,64,40814041441,a29d8ee76a4e49b63432c7292f0a25a48405c0a0e474edafb31063e77f364467,False,64,48,0.7771058622652248,4,1.0,4.0,1.0,0.2501083314175044,0,0.48050654524758113,6754,1.0,14056,3133,64,47,0.5687203791469194,4,1.0,3.65625,1.0,0.24941766076092328,0,0.46953283683141506,1387,0.9140625,2954,1274
french_profiterole_ud218,French,64,40814041442,f8ac988959543ea32b98420cb766809c72d21845d733b5b0a49a75b7d4c3458d,False,64,48,0.7771058622652248,4,1.0,4.0,1.0,0.2502044711963829,0,0.48050654524758113,6754,1.0,14056,3133,64,47,0.5680433310765064,4,1.0,3.6875,1.0,0.2522058304510482,0,0.46953283683141506,1387,0.921875,2954,1276
french_profiterole_ud218,French,256,40814041438,90ce1eef08c4d2f75b88d6f6605e1bd90d6bf946dd21c5cc80b363c891a1b399,False,256,48,0.7384035287421742,4,1.0,3.875,1.0,0.24973770478418308,0,0.6571570859419466,9237,0.96875,14056,3677,256,47,0.508801624915369,4,1.0,2.5286343612334803,1.0,0.2487913595062575,0,0.6357481381178064,1878,0.6321585903083701,2954,1451
french_profiterole_ud218,French,256,40814041439,16c368e180f32b76289ffe55abb5a6f074719c0cfa786b9eccc32c3b960b7ca6,False,256,48,0.7387592487194081,4,1.0,3.85546875,1.0,0.24951045030407193,0,0.6571570859419466,9237,0.9638671875,14056,3672,256,47,0.508124576844956,4,1.0,2.537444933920705,1.0,0.24875707183267615,0,0.6357481381178064,1878,0.6343612334801763,2954,1453
french_profiterole_ud218,French,256,40814041440,b2d9c36d1e2abc4bb31d5df56c071cbbcb54ded8b774afd582c920400c40da4b,False,256,48,0.739114968696642,4,1.0,3.8359375,1.0,0.2502901917238545,0,0.6571570859419466,9237,0.958984375,14056,3667,256,47,0.510155721056195,4,1.0,2.511013215859031,1.0,0.24861992113835077,0,0.6357481381178064,1878,0.6277533039647577,2954,1447
french_profiterole_ud218,French,256,40814041441,a29d8ee76a4e49b63432c7292f0a25a48405c0a0e474edafb31063e77f364467,False,256,48,0.7390438247011952,4,1.0,3.83984375,1.0,0.2502575323973715,0,0.6571570859419466,9237,0.9599609375,14056,3668,256,47,0.5104942450914015,4,1.0,2.5066079295154187,1.0,0.2494428253043031,0,0.6357481381178064,1878,0.6266519823788547,2954,1446
french_profiterole_ud218,French,256,40814041442,f8ac988959543ea32b98420cb766809c72d21845d733b5b0a49a75b7d4c3458d,False,256,48,0.7389015367103017,4,1.0,3.84765625,1.0,0.25013914233887047,0,0.6571570859419466,9237,0.9619140625,14056,3670,256,47,0.504062288422478,4,1.0,2.590308370044053,1.0,0.25129435967769587,0,0.6357481381178064,1878,0.6475770925110133,2954,1465
french_profiterole_ud218,French,1024,40814041438,90ce1eef08c4d2f75b88d6f6605e1bd90d6bf946dd21c5cc80b363c891a1b399,False,1024,48,0.6609988616960728,4,1.0,2.78125,1.0,0.24972542039084988,0,0.8514513375071144,11968,0.6953125,14056,4765,1024,47,0.473595125253893,4,1.0,1.8525519848771266,1.0,0.24886939372300995,0,0.7907921462423833,2336,0.46313799621928164,2954,1555
french_profiterole_ud218,French,1024,40814041439,16c368e180f32b76289ffe55abb5a6f074719c0cfa786b9eccc32c3b960b7ca6,False,1024,48,0.6612122936824132,4,1.0,2.7783203125,1.0,0.24953199731642392,0,0.8514513375071144,11968,0.694580078125,14056,4762,1024,47,0.47393364928909953,4,1.0,1.8506616257088846,1.0,0.2489033969193104,0,0.7907921462423833,2336,0.46266540642722115,2954,1554
french_profiterole_ud218,French,1024,40814041440,b2d9c36d1e2abc4bb31d5df56c071cbbcb54ded8b774afd582c920400c40da4b,False,1024,48,0.66327546955037,4,1.0,2.75,1.0,0.25035438353496225,0,0.8514513375071144,11968,0.6875,14056,4733,1024,47,0.474949221394719,4,1.0,1.8449905482041589,1.0,0.24859736815260636,0,0.7907921462423833,2336,0.4612476370510397,2954,1551
french_profiterole_ud218,French,1024,40814041441,a29d8ee76a4e49b63432c7292f0a25a48405c0a0e474edafb31063e77f364467,False,1024,48,0.6604297097324986,4,1.0,2.7890625,1.0,0.25021641742593115,0,0.8514513375071144,11968,0.697265625,14056,4773,1024,47,0.474949221394719,4,1.0,1.8449905482041589,1.0,0.24927743207861539,0,0.7907921462423833,2336,0.4612476370510397,2954,1551
french_profiterole_ud218,French,1024,40814041442,f8ac988959543ea32b98420cb766809c72d21845d733b5b0a49a75b7d4c3458d,False,1024,48,0.6610700056915196,4,1.0,2.7802734375,1.0,0.25013120306447073,0,0.8514513375071144,11968,0.695068359375,14056,4764,1024,47,0.4719025050778605,4,1.0,1.8620037807183365,1.0,0.25172566221224796,0,0.7907921462423833,2336,0.4655009451795841,2954,1560
german_rem_v21,German,64,40814041438,9adc188d78730942588e2b950fcb7ff85edd36fc7a42b29dd9d1dee759e38d7c,False,64,60,0.7504421022847846,4,1.0,4.0,1.0,0.25033825006432975,0,0.43750442102284787,6185,1.0,14137,3528,64,56,0.5423557205534931,4,1.0,3.78125,1.0,0.24539906780068232,0,0.42996962537968275,1274,0.9453125,2963,1356
