source_id,language,family,control_seed,relation,competitor,selected_hyperparameter,bootstrap_units,bootstrap_replicates,bootstrap_seed,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event,relative_nll_reduction_trigram_vs_competitor,ci_95_lower,ci_95_upper,bootstrap_probability_trigram_better,bootstrap_probability_competitor_better,direction_match_voynich,strong_direction_match_voynich,target_count,phase3a2_mechanism
french_profiterole_ud218,French,latent_variant_coverage_N64,40814041441,slot_grammar,finite_template_slot_grammar,16,387,10000,7031838111359095624,3.2275907312356007,2.5814463219933987,0.646144409242202,0.2001940342029802,0.6234008175792991,0.6699111021705735,1.0,0.0,True,True,64,related_multi_code_nomenclator_coverage
french_profiterole_ud218,French,latent_variant_coverage_N64,40814041441,token_markov,exact_token_markov,1,387,10000,6893260500756681623,2.1274979664686953,2.5814463219933987,-0.4539483555247035,-0.21337193392395326,-0.48588246855887773,-0.4222402228461045,0.0,1.0,False,False,64,related_multi_code_nomenclator_coverage
french_profiterole_ud218,French,latent_variant_coverage_N64,40814041441,copy_edit,local_copy_edit,16,387,10000,3604931645350777933,4.469399599539052,2.5814463219933987,1.8879532775456536,0.4224176504021627,1.8604409930113186,1.9150141181762304,1.0,0.0,True,True,64,related_multi_code_nomenclator_coverage
french_profiterole_ud218,French,latent_variant_coverage_N64,40814041442,hmm_space_free,categorical_hmm,16,387,10000,1167338832214773604,3.9153908480532635,3.1320077355507983,0.7833831125024653,0.20007788312933417,0.7548105076167415,0.8112368267834871,1.0,0.0,True,True,64,related_multi_code_nomenclator_coverage
french_profiterole_ud218,French,latent_variant_coverage_N64,40814041442,hmm_token_aware,categorical_hmm,16,387,10000,5435817697010791531,3.4073012074915066,2.6048803474520557,0.8024208600394509,0.23550041841771951,0.7788264151865949,0.8255842769165128,1.0,0.0,True,True,64,related_multi_code_nomenclator_coverage
french_profiterole_ud218,French,latent_variant_coverage_N64,40814041442,slot_grammar,finite_template_slot_grammar,16,387,10000,5356727861735498883,3.234244149637301,2.5886079118842837,0.6456362377530174,0.19962507710663135,0.6242778639693823,0.6669643811714332,1.0,0.0,True,True,64,related_multi_code_nomenclator_coverage
french_profiterole_ud218,French,latent_variant_coverage_N64,40814041442,token_markov,exact_token_markov,1,387,10000,7919871558643188951,2.122416216652666,2.5886079118842837,-0.46619169523161785,-0.21965140087690438,-0.4980853868297882,-0.4344711813963636,0.0,1.0,False,False,64,related_multi_code_nomenclator_coverage
french_profiterole_ud218,French,latent_variant_coverage_N64,40814041442,copy_edit,local_copy_edit,16,387,10000,3030863488487881821,4.469285198852759,2.5886079118842837,1.8806772869684756,0.42080046434522356,1.8532384576269023,1.9076340702349694,1.0,0.0,True,True,64,related_multi_code_nomenclator_coverage
french_profiterole_ud218,French,latent_variant_coverage_N256,40814041438,hmm_space_free,categorical_hmm,16,387,10000,4122175109684548401,4.0321520895433025,3.3722016437360236,0.6599504458072789,0.16367201215419125,0.6313360341562558,0.6893935612435941,1.0,0.0,True,True,256,related_multi_code_nomenclator_coverage
french_profiterole_ud218,French,latent_variant_coverage_N256,40814041438,hmm_token_aware,categorical_hmm,16,387,10000,2090730499608689815,3.3700974998311355,2.7936187943020556,0.5764787055290799,0.1710569814546805,0.5552002476280997,0.5978496349861184,1.0,0.0,True,True,256,related_multi_code_nomenclator_coverage
french_profiterole_ud218,French,latent_variant_coverage_N256,40814041438,slot_grammar,finite_template_slot_grammar,16,387,10000,1129815570230028800,3.241784140669055,2.768197400172117,0.47358674049693805,0.14608830198027833,0.45203640789230026,0.49580256660072974,1.0,0.0,True,True,256,related_multi_code_nomenclator_coverage
