source_id,language,seed,variant_count,suffix_length_glyphs,train_exact_cipher_token_recurrence_fraction,validation_exact_cipher_token_recurrence_fraction,validation_exact_token_seen_in_train_fraction,validation_avoidable_collision_opportunities,validation_avoidable_collisions,validation_unavoidable_train_surface_reuses,train_same_surface_probability_given_same_plaintext_word,validation_same_surface_probability_given_same_plaintext_word
french_profiterole_ud218,French,40814041438,16,1,0.4215281730221969,0.2054840893703453,0.5582261340555179,1305,0,1649,0.056758573219397875,0.041074035099629994
french_profiterole_ud218,French,40814041439,16,1,0.4215281730221969,0.2054840893703453,0.5582261340555179,1305,0,1649,0.056758573219397875,0.041074035099629994
french_profiterole_ud218,French,40814041440,16,1,0.4215281730221969,0.2054840893703453,0.5582261340555179,1305,0,1649,0.056758573219397875,0.041074035099629994
french_profiterole_ud218,French,40814041441,16,1,0.4215281730221969,0.2054840893703453,0.5582261340555179,1305,0,1649,0.056758573219397875,0.041074035099629994
french_profiterole_ud218,French,40814041442,16,1,0.4215281730221969,0.2054840893703453,0.5582261340555179,1305,0,1649,0.056758573219397875,0.041074035099629994
german_rem_v21,German,40814041438,16,1,0.3908891561151588,0.16638542018224772,0.543705703678704,1352,0,1611,0.054405887628428025,0.03592110025334781
german_rem_v21,German,40814041439,16,1,0.3908891561151588,0.16638542018224772,0.543705703678704,1352,0,1611,0.054405887628428025,0.03592110025334781
german_rem_v21,German,40814041440,16,1,0.3908891561151588,0.16638542018224772,0.543705703678704,1352,0,1611,0.054405887628428025,0.03592110025334781
german_rem_v21,German,40814041441,16,1,0.3908891561151588,0.16638542018224772,0.543705703678704,1352,0,1611,0.054405887628428025,0.03592110025334781
german_rem_v21,German,40814041442,16,1,0.3908891561151588,0.16638542018224772,0.543705703678704,1352,0,1611,0.054405887628428025,0.03592110025334781
italian_old_ud218,Italian,40814041438,16,1,0.4202681500499216,0.22300884955752212,0.5649557522123894,1229,0,1596,0.05720145260336031,0.04322559582109044
italian_old_ud218,Italian,40814041439,16,1,0.4202681500499216,0.22300884955752212,0.5649557522123894,1229,0,1596,0.05720145260336031,0.04322559582109044
italian_old_ud218,Italian,40814041440,16,1,0.4202681500499216,0.22300884955752212,0.5649557522123894,1229,0,1596,0.05720145260336031,0.04322559582109044
italian_old_ud218,Italian,40814041441,16,1,0.4202681500499216,0.22300884955752212,0.5649557522123894,1229,0,1596,0.05720145260336031,0.04322559582109044
italian_old_ud218,Italian,40814041442,16,1,0.4202681500499216,0.22300884955752212,0.5649557522123894,1229,0,1596,0.05720145260336031,0.04322559582109044
latin_udante_ud218,Latin,40814041438,16,1,0.2990620490620491,0.14006287111421586,0.4306671323786238,1630,0,1233,0.05526726137905097,0.03809274299187844
latin_udante_ud218,Latin,40814041439,16,1,0.2990620490620491,0.14006287111421586,0.4306671323786238,1630,0,1233,0.05526726137905097,0.03809274299187844
latin_udante_ud218,Latin,40814041440,16,1,0.2990620490620491,0.14006287111421586,0.4306671323786238,1630,0,1233,0.05526726137905097,0.03809274299187844
latin_udante_ud218,Latin,40814041441,16,1,0.2990620490620491,0.14006287111421586,0.4306671323786238,1630,0,1233,0.05526726137905097,0.03809274299187844
latin_udante_ud218,Latin,40814041442,16,1,0.2990620490620491,0.14006287111421586,0.4306671323786238,1630,0,1233,0.05526726137905097,0.03809274299187844
