source_id,language,seed,validation_tokens,phase3a4_K16_validation_exact_tokens_seen_in_train,phase3a4_K16_validation_seen_in_train_fraction,balanced_validation_exact_tokens_seen_in_train,balanced_validation_seen_in_train_fraction,absolute_seen_in_train_fraction_change,relative_seen_in_train_fraction_change
french_profiterole_ud218,French,40814041438,2954,1795,0.6076506431956669,1649,0.5582261340555179,-0.04942450914014895,-0.08133704735376046
french_profiterole_ud218,French,40814041439,2954,1794,0.6073121191604604,1649,0.5582261340555179,-0.04908598510494244,-0.08082497212931995
french_profiterole_ud218,French,40814041440,2954,1810,0.6127285037237644,1649,0.5582261340555179,-0.05450236966824651,-0.08895027624309403
french_profiterole_ud218,French,40814041441,2954,1783,0.603588354773189,1649,0.5582261340555179,-0.04536222071767104,-0.07515423443634338
french_profiterole_ud218,French,40814041442,2954,1808,0.6120514556533514,1649,0.5582261340555179,-0.053825321597833486,-0.08794247787610626
german_rem_v21,German,40814041438,2963,1750,0.590617617279784,1611,0.543705703678704,-0.046911913601080046,-0.07942857142857153
german_rem_v21,German,40814041439,2963,1745,0.5889301383732704,1611,0.543705703678704,-0.045224434694566384,-0.07679083094555884
german_rem_v21,German,40814041440,2963,1744,0.5885926425919676,1611,0.543705703678704,-0.044886938913263674,-0.07626146788990841
german_rem_v21,German,40814041441,2963,1740,0.5872426594667567,1611,0.543705703678704,-0.04353695578805272,-0.07413793103448288
german_rem_v21,German,40814041442,2963,1741,0.5875801552480594,1611,0.543705703678704,-0.04387445156935543,-0.07466973004020686
italian_old_ud218,Italian,40814041438,2825,1664,0.5890265486725663,1596,0.5649557522123894,-0.024070796460176958,-0.04086538461538456
italian_old_ud218,Italian,40814041439,2825,1687,0.5971681415929203,1596,0.5649557522123894,-0.03221238938053095,-0.05394190871369291
italian_old_ud218,Italian,40814041440,2825,1702,0.6024778761061947,1596,0.5649557522123894,-0.03752212389380538,-0.06227967097532326
italian_old_ud218,Italian,40814041441,2825,1701,0.6021238938053097,1596,0.5649557522123894,-0.03716814159292037,-0.06172839506172842
italian_old_ud218,Italian,40814041442,2825,1695,0.6,1596,0.5649557522123894,-0.035044247787610616,-0.0584070796460177
latin_udante_ud218,Latin,40814041438,2863,1414,0.4938875305623472,1233,0.4306671323786238,-0.06322039818372338,-0.12800565770862804
latin_udante_ud218,Latin,40814041439,2863,1388,0.48480614739783445,1233,0.4306671323786238,-0.054139015019210646,-0.11167146974063406
latin_udante_ud218,Latin,40814041440,2863,1390,0.4855047153335662,1233,0.4306671323786238,-0.0548375829549424,-0.11294964028776984
latin_udante_ud218,Latin,40814041441,2863,1385,0.4837582954942368,1233,0.4306671323786238,-0.053091163115613016,-0.10974729241877261
latin_udante_ud218,Latin,40814041442,2863,1417,0.4949353824659448,1233,0.4306671323786238,-0.06426825008732101,-0.12985179957657025
