source_id,language,family,control_seed,relation,competitor,selected_hyperparameter,bootstrap_units,bootstrap_replicates,bootstrap_seed,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event,relative_nll_reduction_trigram_vs_competitor,ci_95_lower,ci_95_upper,bootstrap_probability_trigram_better,bootstrap_probability_competitor_better,direction_match_voynich,strong_direction_match_voynich,phase3a6_allocation
french_profiterole_ud218,French,recurrence_avoiding_surface_allocation,40814041441,copy_edit,local_copy_edit,16,387,10000,6665328664422118549,4.4433656381260915,2.954728031876186,1.4886376062499056,0.33502478244795353,1.461789029005127,1.5156331908517882,1.0,0.0,True,True,balanced16
french_profiterole_ud218,French,recurrence_avoiding_surface_allocation,40814041442,hmm_space_free,categorical_hmm,16,387,10000,3370425738447008447,3.9126766276699723,3.5841538431937408,0.3285227844762315,0.08396369435515272,0.30209146086155186,0.35438901298778813,1.0,0.0,True,True,balanced16
french_profiterole_ud218,French,recurrence_avoiding_surface_allocation,40814041442,hmm_token_aware,categorical_hmm,16,387,10000,7734218283914208368,3.3444266561039355,3.0169269615302734,0.3274996945736621,0.0979240175519891,0.30629933801325154,0.3485174676617477,1.0,0.0,True,True,balanced16
french_profiterole_ud218,French,recurrence_avoiding_surface_allocation,40814041442,slot_grammar,finite_template_slot_grammar,16,387,10000,7348849279152111024,3.394283100943791,2.9562118082495816,0.4380712926942092,0.12906150714782805,0.41807463720193605,0.4582056431325475,1.0,0.0,True,True,balanced16
french_profiterole_ud218,French,recurrence_avoiding_surface_allocation,40814041442,token_markov,exact_token_markov,1,387,10000,6957077142346421917,3.0438294640673313,2.9562118082495816,0.08761765581774972,0.02878533664651184,0.07436791748571936,0.10039441407584113,1.0,0.0,True,True,balanced16
french_profiterole_ud218,French,recurrence_avoiding_surface_allocation,40814041442,copy_edit,local_copy_edit,16,387,10000,8252425451964477033,4.441258108494452,2.9562118082495816,1.4850463002448704,0.3343751396489515,1.45754315578442,1.512066241652727,1.0,0.0,True,True,balanced16
german_rem_v21,German,recurrence_avoiding_surface_allocation,40814041438,hmm_space_free,categorical_hmm,16,657,10000,5977643790064870463,3.9591054096385982,3.6454180183735763,0.313687391265022,0.07923188670383408,0.28659510372083996,0.3403747705916248,1.0,0.0,True,True,balanced16
german_rem_v21,German,recurrence_avoiding_surface_allocation,40814041438,hmm_token_aware,categorical_hmm,16,657,10000,7312557337930171625,3.4161229176793815,3.086365479260234,0.3297574384191475,0.09652973454572178,0.3088191878690277,0.35120515412500214,1.0,0.0,True,True,balanced16
german_rem_v21,German,recurrence_avoiding_surface_allocation,40814041438,slot_grammar,finite_template_slot_grammar,16,657,10000,4248135732455064227,3.432548657913504,2.9761371388047535,0.45641151910875033,0.1329657827447034,0.43562201593586364,0.47670454935954043,1.0,0.0,True,True,balanced16
german_rem_v21,German,recurrence_avoiding_surface_allocation,40814041438,token_markov,exact_token_markov,1,657,10000,3696243458376473881,3.1095718379878012,2.9761371388047535,0.13343469918304773,0.04291095563477754,0.12454375468359204,0.14211021349051942,1.0,0.0,True,True,balanced16
german_rem_v21,German,recurrence_avoiding_surface_allocation,40814041438,copy_edit,local_copy_edit,16,657,10000,3137859801765262173,4.463863856013596,2.9761371388047535,1.4877267172088424,0.3332822785812828,1.460410789955393,1.515985562870932,1.0,0.0,True,True,balanced16
german_rem_v21,German,recurrence_avoiding_surface_allocation,40814041439,hmm_space_free,categorical_hmm,16,657,10000,4552002447833247834,3.976266915779527,3.6424143128178703,0.33385260296165686,0.08396131598630541,0.3075167981078131,0.35955980917900215,1.0,0.0,True,True,balanced16
german_rem_v21,German,recurrence_avoiding_surface_allocation,40814041439,hmm_token_aware,categorical_hmm,16,657,10000,2871791325537779845,3.443704547569032,3.0840238794451498,0.35968066812388244,0.10444585566371745,0.33645762500589,0.3827815704517142,1.0,0.0,True,True,balanced16
