language,seeds,mean_phase3a4_K16_validation_seen_in_train_fraction,mean_balanced_validation_seen_in_train_fraction,mean_absolute_fraction_change,sd_absolute_fraction_change,seeds_with_reduced_exact_seen_in_train_fraction
French,5,0.6086662153012864,0.5582261340555179,-0.05044008124576849,0.0033648676072550216,5
German,5,0.5885926425919676,0.543705703678704,-0.04488693891326365,0.0011884452825959497,5
Italian,5,0.5981592920353982,0.5649557522123894,-0.03320353982300885,0.004942586810819727,5
Latin,5,0.4885784142507859,0.4306671323786238,-0.05791128187216209,0.004806431690330298,5
