replicate,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event
0,2.721264193422854,2.2829831004213768,0.4382810930014771
1,2.9044712825870476,2.4840820081264883,0.4203892744605593
2,2.7111049551920483,2.2608093826043287,0.4502955725877196
3,2.6151223876759575,2.160332709537425,0.4547896781385323
4,2.6953499602638575,2.225339169633656,0.47001079063020157
5,2.8020463847567862,2.3545272088460734,0.4475191759107129
6,2.7272009627640026,2.289442929283671,0.4377580334803315
7,2.8952960430237575,2.4319141051462827,0.46338193787747484
8,2.8609147596919624,2.440239696617043,0.4206750630749192
9,2.787355758048895,2.3371855694449417,0.4501701886039533
10,2.815853356247086,2.391887327648888,0.4239660285981981
11,2.9014832757514344,2.4476015424996125,0.4538817332518219
12,2.649063170383628,2.1974327748535116,0.4516303955301164
13,2.729109371330032,2.2608564237255986,0.46825294760443326
14,2.7830662790929224,2.362315273255362,0.4207510058375603
15,2.907802635892131,2.4190504980343857,0.4887521378577455
16,2.7831767264351095,2.3588103834936804,0.42436634294142905
17,2.6915019837638394,2.2426897448772416,0.4488122388865978
18,2.794799064407021,2.36140601077985,0.43339305362717084
19,2.6612744887736306,2.2212459056932614,0.4400285830803692
20,2.690311122410335,2.242497291495087,0.4478138309152482
21,2.703436123661377,2.249083569775753,0.4543525538856241
22,2.713589060164711,2.2535212486682195,0.46006781149649134
23,2.717330587031498,2.2674010024199354,0.44992958461156274
24,2.699677168458085,2.242735587535739,0.45694158092234627
25,2.822239198414778,2.3741994795208394,0.4480397188939387
26,2.862010395304398,2.4078222678698435,0.4541881274345543
27,2.751630286054122,2.3360842376833575,0.4155460483707647
28,2.7721563153564226,2.3352660267482674,0.43689028860815515
29,2.7428377601396243,2.3138389541557154,0.42899880598390894
30,2.976436274337445,2.559464623324355,0.41697165101308986
31,2.685123723533845,2.239684933893267,0.44543878964057804
32,2.695515082796008,2.206385876155231,0.4891292066407771
33,2.7490292189426864,2.3065563810868523,0.442472837855834
34,2.724655074517824,2.308103781356173,0.41655129316165107
35,2.74360159470212,2.266359976522403,0.477241618179717
36,2.7126025048440114,2.272412803932984,0.4401897009110276
37,2.805176752334152,2.317917886973835,0.4872588653603174
