replicate,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event
0,3.415529503200369,2.2829831004213768,1.1325464027789924
1,3.49472066748604,2.4840820081264883,1.0106386593595515
2,3.4135663684958657,2.2608093826043287,1.152756985891537
3,3.3637005928629224,2.160332709537425,1.2033678833254973
4,3.384330447532383,2.225339169633656,1.158991277898727
5,3.456694192257289,2.3545272088460734,1.1021669834112156
6,3.4226306044315793,2.289442929283671,1.1331876751479082
7,3.4854220515762546,2.4319141051462827,1.053507946429972
8,3.496820090501465,2.440239696617043,1.0565803938844218
9,3.4129425129574513,2.3371855694449417,1.0757569435125096
10,3.454921318461182,2.391887327648888,1.0630339908122939
11,3.4878357732312857,2.4476015424996125,1.0402342307316732
12,3.370454865470367,2.1974327748535116,1.1730220906168554
13,3.402491493230633,2.2608564237255986,1.1416350695050346
14,3.4611181003131257,2.362315273255362,1.0988028270577637
15,3.480825428431574,2.4190504980343857,1.0617749303971884
16,3.463106599552077,2.3588103834936804,1.1042962160583967
17,3.408440851690531,2.2426897448772416,1.1657511068132895
18,3.4322744070691957,2.36140601077985,1.0708683962893457
19,3.4168374899461846,2.2212459056932614,1.1955915842529232
20,3.3675520724498327,2.242497291495087,1.1250547809547458
21,3.401132670696733,2.249083569775753,1.15204910092098
22,3.4225555495824254,2.2535212486682195,1.169034300914206
23,3.4109066987676533,2.2674010024199354,1.143505696347718
24,3.4119553212048586,2.242735587535739,1.1692197336691197
25,3.4258325787739166,2.3741994795208394,1.0516330992530771
26,3.443611018553553,2.4078222678698435,1.0357887506837096
27,3.455739786408511,2.3360842376833575,1.1196555487251536
28,3.468042447377779,2.3352660267482674,1.1327764206295114
29,3.436822290605452,2.3138389541557154,1.1229833364497366
30,3.5318660084565554,2.559464623324355,0.9724013851322004
31,3.4211928012472494,2.239684933893267,1.1815078673539823
32,3.3812010809883364,2.206385876155231,1.1748152048331053
33,3.417465665595392,2.3065563810868523,1.1109092845085398
34,3.4151170692848942,2.308103781356173,1.1070132879287211
35,3.384278924064375,2.266359976522403,1.117918947541972
36,3.4360129997707944,2.272412803932984,1.1636001958378106
37,3.4352278132716707,2.317917886973835,1.1173099262978359
38,3.3882553122293557,2.1459612099594922,1.2422941022698635
39,3.4226045774465166,2.2643735483595164,1.1582310290870002
40,3.453036276187384,2.3430051445407583,1.1100311316466258
41,3.413786984328707,2.2747487967528572,1.1390381875758497
42,3.460996757964355,2.4036781070516766,1.0573186509126784
43,3.452229533752381,2.3274723069533754,1.1247572267990056
44,3.455954401630127,2.3870508954250442,1.068903506205083
45,3.41806110702494,2.29914770229172,1.1189134047332199
46,3.432779542768202,2.3138511799739883,1.1189283627942137
47,3.4317642008721623,2.2484971413151413,1.183267059557021
48,3.4630065712293305,2.39770135158905,1.0653052196402806
49,3.445401932134114,2.3247076220659033,1.1206943100682105
50,3.431884131332011,2.306627871292168,1.1252562600398432
51,3.5918728909125575,2.7089227141631973,0.8829501767493602
52,3.3918925851491593,2.198700268139946,1.1931923170092134
53,3.4493101279703953,2.3577313826155284,1.0915787453548669
54,3.4837059752373563,2.376492179373156,1.1072137958642
55,3.477890932515501,2.4195672436053726,1.0583236889101286
56,3.404133891175367,2.2223880664706184,1.1817458247047488
57,3.4241744599891857,2.333595868073096,1.0905785919160897
58,3.4167433398757048,2.2823866429294184,1.1343566969462864
59,3.4134677115493,2.2748866031139943,1.138581108435306
