replicate,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event
0,2.38335595568353,2.2829831004213768,0.10037285526215323
1,2.614938240091825,2.4840820081264883,0.1308562319653368
2,2.3634988300696205,2.2608093826043287,0.10268944746529174
3,2.2465388382065017,2.160332709537425,0.08620612866907651
4,2.3226391773553936,2.225339169633656,0.09730000772173764
5,2.4736020114086057,2.3545272088460734,0.11907480256253233
6,2.387544263102429,2.289442929283671,0.09810133381875774
7,2.5651181541817034,2.4319141051462827,0.1332040490354207
8,2.5655184360880234,2.440239696617043,0.12527873947098023
9,2.4496176835744157,2.3371855694449417,0.11243211412947396
10,2.501999378430071,2.391887327648888,0.1101120507811828
11,2.582420220450889,2.4476015424996125,0.13481867795127656
12,2.28605105322577,2.1974327748535116,0.08861827837225844
13,2.3623757083335883,2.2608564237255986,0.10151928460798976
14,2.4696266935625806,2.362315273255362,0.10731142030721852
15,2.564556915136974,2.4190504980343857,0.14550641710258816
16,2.4706617055466116,2.3588103834936804,0.11185132205293113
17,2.345406850136007,2.2426897448772416,0.10271710525876543
18,2.467515452127133,2.36140601077985,0.10610944134728317
19,2.317964308719335,2.2212459056932614,0.09671840302607349
20,2.3347112518251416,2.242497291495087,0.09221396033005469
21,2.346854048452179,2.249083569775753,0.09777047867642619
22,2.359039829775976,2.2535212486682195,0.10551858110775658
23,2.3696060749345755,2.2674010024199354,0.10220507251464017
24,2.345051890313631,2.242735587535739,0.10231630277789217
25,2.4972886232234925,2.3741994795208394,0.12308914370265311
26,2.52964138465376,2.4078222678698435,0.12181911678391666
27,2.4386767185604494,2.3360842376833575,0.10259248087709194
28,2.4491092888467567,2.3352660267482674,0.11384326209848927
29,2.4149057420055344,2.3138389541557154,0.10106678784981904
30,2.7078953486183917,2.559464623324355,0.14843072529403667
31,2.3368905444385835,2.239684933893267,0.09720561054531629
32,2.3099560102221055,2.206385876155231,0.10357013406687443
33,2.409902170948269,2.3065563810868523,0.10334578986141674
34,2.403179195277214,2.308103781356173,0.09507541392104102
35,2.375690487364524,2.266359976522403,0.10933051084212098
36,2.375858780328422,2.272412803932984,0.10344597639543807
37,2.444640984567013,2.317917886973835,0.12672309759317812
38,2.23491378999126,2.1459612099594922,0.08895258003176787
39,2.369901194210445,2.2643735483595164,0.10552764585092866
40,2.465214033492776,2.3430051445407583,0.12220888895201787
41,2.380774318633049,2.2747487967528572,0.10602552188019176
42,2.5271292916843304,2.4036781070516766,0.12345118463265381
43,2.4448808700259232,2.3274723069533754,0.11740856307254788
44,2.5189262374304455,2.3870508954250442,0.1318753420054013
45,2.4128353866155305,2.29914770229172,0.1136876843238106
46,2.417165817665004,2.3138511799739883,0.10331463769101568
47,2.3550856695662024,2.2484971413151413,0.10658852825106102
48,2.5302027326645398,2.39770135158905,0.1325013810754898
49,2.4347086646965344,2.3247076220659033,0.11000104263063104
50,2.418037195740571,2.306627871292168,0.1114093244484029
51,2.860185317282608,2.7089227141631973,0.15126260311941087
52,2.2989431885818847,2.198700268139946,0.10024292044193883
53,2.485245448813098,2.3577313826155284,0.12751406619756978
54,2.510936457237434,2.376492179373156,0.13444427786427804
55,2.5485073248340115,2.4195672436053726,0.12894008122863898
56,2.313028389153336,2.2223880664706184,0.09064032268271749
57,2.448300604834711,2.333595868073096,0.11470473676161497
58,2.3844517773830716,2.2823866429294184,0.10206513445365317
59,2.3868262101305087,2.2748866031139943,0.1119396070165144
60,2.3876940989627946,2.2829768103519172,0.10471728861087737
61,2.633907829234004,2.495522775090817,0.1383850541431868
62,2.36365380457692,2.2560339894377517,0.1076198151391683
63,2.4441731738276675,2.324859684197319,0.11931348963034871
64,2.612731278596732,2.471288155081052,0.1414431235156801
65,2.4580328656204578,2.3469024286011773,0.11113043701928049
66,2.432190155887703,2.3203335749305265,0.11185658095717654
67,2.395083758677846,2.2831625719931004,0.1119211866847456
68,2.405918540058723,2.30325393169182,0.10266460836690294
69,2.402169871730935,2.2958850295906874,0.1062848421402478
70,2.375928388809027,2.261913603500319,0.1140147853087079
71,2.3500889408291004,2.242766430411549,0.10732251041755125
72,2.368633897171299,2.268592103884183,0.10004179328711604
73,2.5059213864349474,2.389124945541636,0.11679644089331154
74,2.6845077012761864,2.5305966446921646,0.15391105658402182
75,2.4519933876904343,2.332648924467656,0.11934446322277825
76,2.6953054498178686,2.5447228890573785,0.15058256076049004
77,2.4446462466531456,2.3274743972513567,0.11717184940178882
78,2.4186599070031294,2.3026562004197024,0.11600370658342696
79,2.4134746129330744,2.299417247274184,0.11405736565889057
80,2.537267967076072,2.4110966541097074,0.12617131296636463
81,2.550150490381928,2.4202314113241816,0.12991907905774625
82,2.3554681785856144,2.249705927604211,0.10576225098140357
83,2.4694961433130644,2.352068015884686,0.11742812742837838
84,2.3357515029614713,2.2298599532182286,0.10589154974324266
85,2.717186422824957,2.573646969017257,0.14353945380769995
86,2.3213265545603443,2.2159179351980685,0.10540861936227586
87,2.3848960968829287,2.279526816004265,0.10536928087866348
88,2.5035701332537177,2.3713726565616313,0.13219747669208637
89,2.3171581785151307,2.2168551676135637,0.10030301090156701
90,2.540460479291976,2.412249162768724,0.1282113165232519
91,2.651895356720617,2.5130767075871145,0.13881864913350261
92,2.2209605256260154,2.1348153672407024,0.086145158385313
93,2.339380171916512,2.2470915979673958,0.09228857394911616
94,2.430715569190804,2.3246853951821653,0.10603017400863868
95,2.3531563734478533,2.248863159836882,0.10429321361097132
96,2.431462654630679,2.3102974056258194,0.12116524900485937
97,2.3896116885972005,2.277269881174077,0.11234180742312372
98,2.314685163966683,2.2106591093209538,0.104026054645729
99,2.3162083707538974,2.218202361460179,0.0980060092937185
100,2.561178880169564,2.4172083970621587,0.14397048310740512
101,2.4029200431962985,2.293078632374085,0.10984141082221344
102,2.48380815181321,2.3677005136709437,0.1161076381422661
103,2.4725131364867545,2.3635654956882686,0.10894764079848596
104,2.341871713041915,2.2414021982181427,0.10046951482377242
105,2.2153530605525433,2.137353092571093,0.07799996798145026
106,2.393400045051932,2.2807917977425896,0.1126082473093426
107,2.7660961687037995,2.6204073807399824,0.14568878796381712
108,2.3382582582171163,2.2349501921694643,0.10330806604765197
