source_id,language,seed,eligible_family_count,lag16_pair_count,candidate_lag1_15_mean,candidate_lag16,candidate_cycle16_contrast,cycle_shuffle_lag16,cycle_shuffle_cycle16_contrast,iid_lag16,iid_cycle16_contrast,candidate_minus_best_null,candidate_exact_pattern,success,candidate_lag32,cycle_shuffle_lag32,iid_lag32,candidate_encoded_stream_sha256,cycle_shuffle_encoded_stream_sha256,iid_encoded_stream_sha256,final_train_state_sha256
italian_gutenberg_i_promessi_sposi_45334,Italian,40814041438,132,6933,0.0,1.0,1.0,0.06591663060724073,0.0364241908294256,0.05697389297562383,-0.005775905061133235,0.9635758091705744,True,True,1.0,0.0625,0.06964809384164222,dca1dc1186d524edadcd12b9be5a5a43032460e7e56401a0dd7263e8f434d311,bcbcbcb726f356c1da9385c713039a25eac6554ff22bbbd8e2bf3e4ed8a5e0f9,b6867c125417c8ce0f6314689fb3d5f890f2c1763221f3613b1f8faf95ef2148,0a833e41a9e53c59489109e795adb430b7ad8901c50ae5b17b36be6d542f3220
italian_gutenberg_i_promessi_sposi_45334,Italian,40814041439,132,6933,0.0,1.0,1.0,0.06663781912591951,0.03657649928265167,0.0574066060868311,-0.0056434564980446245,0.9634235007173483,True,True,1.0,0.0593841642228739,0.059750733137829914,d7a60c5304443b29023f5406f59690482d37e189997e1b7ec16c96b1fff438ff,aee66070aa6790471829e49b40b6b71ac2f00e5a30f4141c7e14349c62c51e6d,ef8aef9904184abffab62038638ba3be3fcb0270b3b62e0e5f29992a6dde1279,0d031391ad8c07c7614d98f0b4a419e1bee6c0536770fc05414287d0f80750cd
italian_gutenberg_i_promessi_sposi_45334,Italian,40814041440,132,6933,0.0,1.0,1.0,0.06389730275494014,0.03425584588067811,0.06317611423626136,0.00037446036233011737,0.9657441541193219,True,True,1.0,0.06396627565982405,0.06121700879765396,037f48904fa0703ae6837ffb04cae0d6a6bc3d22ab825b1dcdcab7fa8f1de056,79fa216c81f46a0f0632d8690157f71e959e9c3e34cd11b598eb0dd3bd484934,13596b383155bc596ffefcabb1eec0106e821548f0e766d131b208d4eb32901c,0dbcce5743443199d8e3a89f02ad7d05135187147599a764cada02fedfd53456
italian_gutenberg_i_promessi_sposi_45334,Italian,40814041441,132,6933,0.0,1.0,1.0,0.06548391749603347,0.035380758248642966,0.06274340112505408,-0.0005772902293179893,0.964619241751357,True,True,1.0,0.06616568914956011,0.05828445747800586,3ac98007a20b36c8c3d21230cd0316457e0b66de31f66cb5814f9c4404bb3920,2521a9f113fca788b012356ab00c0e4b819accbe43e81d864ea3c876bcb730e7,5cc4cae0cd3f54337b756517fc19559ccc71631939d38c8ea8327d49f0a6cd00,7ef31933091ef8b6adbcec72de800df698788719511c1f8e4137242e6688210b
italian_gutenberg_i_promessi_sposi_45334,Italian,40814041442,132,6933,0.0,1.0,1.0,0.06231068801384682,0.032475125286018466,0.06533967979229771,0.0025201801325528544,0.9675248747139815,True,True,1.0,0.0656158357771261,0.06323313782991202,8e79498da7cc1c44160301730c7c35b5b0328a6c099d25b9cd83de77087c0eb2,82e8d635d200939fac1b33781ac534188f78b2efc192f6ab72c658fc731a419b,f3b4879edd9fad867de5058d5e7619b17e8833dfc83a9eebf967470fba08a507,d814b7ad14f3cf62864b2268d7d50ee3bdb0282d4e00fd8bc682eed38a65bb22
latin_gutenberg_aeneidos_227,Latin,40814041438,113,2906,0.0,1.0,1.0,0.057811424638678596,0.028886155962721413,0.056434962147281484,-0.0060367431503821,0.9711138440372786,True,True,1.0,0.06659205372132065,0.05931729155008394,6d047f02f1bbdbe4d1d7164618d9569fa4bf0691d25d49a41f0b35a03f4ca1e1,df9f4e386a63a86b47c1e2987791c4c6dcec1b45141855754e798a1fc3c8b75d,a8eac262ac586b06fd71f80a8278ca09d22920bd0e3842e154c0eb699a418fea,980f373ef1137a842b11fd807ffd15f2d7f7e5a5a5da2c5996786df55c89c337
latin_gutenberg_aeneidos_227,Latin,40814041439,113,2906,0.0,1.0,1.0,0.06297315898141775,0.03437337608590528,0.06262904335856848,0.0013209364436648427,0.9656266239140947,True,True,1.0,0.05428091773922775,0.07050923335198657,74ef8149c76ba9e8b780cb9711da9b40a57662b9158e0349a2b60dd690447f8c,9025464373ac08d1ab9182e1105f5818a1f9ea9e30a6e423d74ba4ee7cfa8ba5,dc79becce90e93ed0b5609a28a5315cd62fc6c959a64045069b11507b3728023,248c8ea46576e967fa1afdb07af9371b902d5b741e068dd2eb26e3836e7e6d38
latin_gutenberg_aeneidos_227,Latin,40814041440,113,2906,0.0,1.0,1.0,0.06400550584996559,0.03491272246951917,0.06194081211286993,-0.0016829532629893743,0.9650872775304808,True,True,1.0,0.0693900391717963,0.05875769445998881,1ed95420b1bf1d102794433bea7777b2676a4853d4cc77ec8ee6eb556fc3c184,6228d077c2693fec6f31256d4171f5bd44ddb0c2f7e68077b2d4cd7f69039686,7513f0d2c391dca9ac601959d579ed63cc3cef1034271f4f99ead551ba46b569,52f15a106bfd0b5e6b30fb53711f95b4a2c34c3ad46eaeb3a922094dd54e144d
latin_gutenberg_aeneidos_227,Latin,40814041441,113,2906,0.0,1.0,1.0,0.06331727460426703,0.03478216848299988,0.06090846524432209,-0.0029748677835517504,0.9652178315170001,True,True,1.0,0.08058198097369894,0.05204252937884723,81454280a444716f005ad73d9c744e6769a78c0e77cc22fed1bc9f04c491e5ac,a2094bd94a24ddbb1795b232bd768b4f728384a3a3f3322de37f367eb2e28d13,cef831180cbfbe825cbba800aee67564debfaa38dd00105b75ea740ff7ac9252,b95e9ba0a406162be7594f2c747f6f020fa7011b40f778d8332e83e611fc5724
latin_gutenberg_aeneidos_227,Latin,40814041442,113,2906,0.0,1.0,1.0,0.06434962147281487,0.0363629923950857,0.06159669649002065,-0.0014317447433892863,0.9636370076049143,True,True,1.0,0.05707890318970341,0.05763850027979855,63de6a0c7cb54a5693e52bbd5a495a67a27b9fef070d2e68efaa2ccf9ba4e633,5e3a253dd04420515ffe49cf23f7a40fbdf9d5804767780ab3e3c62459d7c44c,433ea3e6a00a5b38483b408d120b657eb7a0382d1ff15c93ba425bbdbe8ff611,1bda54098dee551f3b0a855c5e00a04be2ae1e0b08a573d3d10d66e462ab25da
