source_id,language,seed,model,lag,match_rate,matches,pairs,eligible_family_count
french_gutenberg_les_miserables_t1_17489,French,40814041439,fixed_cycle_k16,13,0.0,0,9161,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,fixed_cycle_k16,14,0.0,0,9017,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,fixed_cycle_k16,15,0.0,0,8873,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,fixed_cycle_k16,16,1.0,8729,8729,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,1,0.0041326108917255945,45,10889,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,2,0.008003722661703117,86,10745,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,3,0.010093387416281482,107,10601,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,4,0.016352682413694176,171,10457,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,5,0.017744594201493262,183,10313,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,6,0.02045432195889468,208,10169,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,7,0.025735660847880298,258,10025,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,8,0.02914684748507236,288,9881,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,9,0.03296703296703297,321,9737,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,10,0.03669342228708433,352,9593,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,11,0.041274208910995876,390,9449,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,12,0.04707146695325094,438,9305,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,13,0.04988538369173671,457,9161,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,14,0.05511811023622047,497,9017,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,15,0.05973177053983996,530,8873,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,cycle_shuffle_k16,16,0.06449765150647267,563,8729,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,1,0.05987694003122417,652,10889,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,2,0.06468124709167054,695,10745,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,3,0.06433355343835487,682,10601,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,4,0.06034235440374869,631,10457,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,5,0.06399689712013963,660,10313,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,6,0.06264136099911495,637,10169,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,7,0.06154613466334165,617,10025,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,8,0.06487197652059508,641,9881,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,9,0.06008010680907877,585,9737,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,10,0.05827165641613677,559,9593,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,11,0.060006349878294,567,9449,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,12,0.06362170875873187,592,9305,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,13,0.06287523196157625,576,9161,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,14,0.061217699900188535,552,9017,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,15,0.062211202524512565,552,8873,144
french_gutenberg_les_miserables_t1_17489,French,40814041439,iid_k16,16,0.060717149730782446,530,8729,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,1,0.0,0,10889,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,2,0.0,0,10745,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,3,0.0,0,10601,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,4,0.0,0,10457,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,5,0.0,0,10313,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,6,0.0,0,10169,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,7,0.0,0,10025,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,8,0.0,0,9881,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,9,0.0,0,9737,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,10,0.0,0,9593,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,11,0.0,0,9449,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,12,0.0,0,9305,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,13,0.0,0,9161,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,14,0.0,0,9017,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,15,0.0,0,8873,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,fixed_cycle_k16,16,1.0,8729,8729,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,1,0.004040775094131693,44,10889,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,2,0.008096789204281061,87,10745,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,3,0.01198000188661447,127,10601,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,4,0.01482260686621402,155,10457,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,5,0.01677494424512751,173,10313,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,6,0.02133936473596224,217,10169,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,7,0.024039900249376557,241,10025,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,8,0.029652869142799312,293,9881,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,9,0.03276163089247201,319,9737,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,10,0.037214635671844055,357,9593,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,11,0.040956714996295905,387,9449,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,12,0.04266523374529823,397,9305,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,13,0.048248007859403995,442,9161,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,14,0.05622712653876012,507,9017,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,15,0.05849205454750366,519,8873,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,cycle_shuffle_k16,16,0.06552869744529728,572,8729,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,1,0.061805491780696116,673,10889,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,2,0.06449511400651466,693,10745,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,3,0.06254126969153853,663,10601,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,4,0.06665391603710433,697,10457,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,5,0.0633181421506836,653,10313,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,6,0.06008457075425312,611,10169,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,7,0.06304239401496259,632,10025,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,8,0.06699726748304828,662,9881,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,9,0.06398274622573688,623,9737,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,10,0.06202439278640676,595,9593,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,11,0.06413377076939358,606,9449,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,12,0.05910800644814616,550,9305,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,13,0.06211112323982098,569,9161,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,14,0.061883109681712324,558,9017,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,15,0.06671926067846275,592,8873,144
french_gutenberg_les_miserables_t1_17489,French,40814041440,iid_k16,16,0.06495589414595028,567,8729,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,1,0.0,0,10889,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,2,0.0,0,10745,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,3,0.0,0,10601,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,4,0.0,0,10457,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,5,0.0,0,10313,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,6,0.0,0,10169,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,7,0.0,0,10025,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,8,0.0,0,9881,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,9,0.0,0,9737,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,10,0.0,0,9593,144
french_gutenberg_les_miserables_t1_17489,French,40814041441,fixed_cycle_k16,11,0.0,0,9449,144
