source_id,language,factorization,seed,master_key_sha256,parent_phase3a4_master_key_sha256,reserved_test_encoded,train_abstract_token_identity_sha256,train_abstract_variant_index_entropy_bits,train_base_form_preservation_fraction,train_base_form_recovery_accuracy,train_cipher_glyph_alphabet_size,train_exact_cipher_token_recurrence_fraction,train_factorization,train_joint_affix_pair_entropy_bits,train_max_realized_surface_forms_per_plaintext_word,train_mean_realized_surface_forms_per_plaintext_word_present,train_nominal_variant_entropy_bits,train_nominal_whole_token_variant_count,train_phase3a4_k16_variant_schedule_accuracy,train_plaintext_types_with_multiple_observed_base_forms,train_realized_affix_pairs,train_realized_variant_indices,train_round_trip_accuracy,train_same_surface_probability_given_same_plaintext_word,train_slot_a_counts_json,train_slot_a_entropy_bits,train_slot_a_states,train_slot_b_counts_json,train_slot_b_entropy_bits,train_slot_b_states,train_suffix_length_glyphs,train_token_coverage_fraction,train_token_length_plus_two_accuracy,train_tokens,train_unique_cipher_tokens,train_unique_plaintext_word_types,train_variant_index_counts_json,validation_abstract_token_identity_sha256,validation_abstract_variant_index_entropy_bits,validation_base_form_preservation_fraction,validation_base_form_recovery_accuracy,validation_cipher_glyph_alphabet_size,validation_exact_cipher_token_recurrence_fraction,validation_factorization,validation_joint_affix_pair_entropy_bits,validation_max_realized_surface_forms_per_plaintext_word,validation_mean_realized_surface_forms_per_plaintext_word_present,validation_nominal_variant_entropy_bits,validation_nominal_whole_token_variant_count,validation_phase3a4_k16_variant_schedule_accuracy,validation_plaintext_types_with_multiple_observed_base_forms,validation_realized_affix_pairs,validation_realized_variant_indices,validation_round_trip_accuracy,validation_same_surface_probability_given_same_plaintext_word,validation_slot_a_counts_json,validation_slot_a_entropy_bits,validation_slot_a_states,validation_slot_b_counts_json,validation_slot_b_entropy_bits,validation_slot_b_states,validation_suffix_length_glyphs,validation_token_coverage_fraction,validation_token_length_plus_two_accuracy,validation_tokens,validation_unique_cipher_tokens,validation_unique_plaintext_word_types,validation_variant_index_counts_json
french_profiterole_ud218,French,1x16,40814041438,9078b43d2fa6e218c883474ff7919b0a25151a2eecd60f9abaab3fe7960302eb,f03aefec7a9e745f90eacb0eadc8898d009d904b376e2fcbe76419132cf09ae6,False,48ae9b37458f49de26d9e6dcce325495557dee581506d1977e2cc65bb223a0a0,3.999454268051457,1.0,1.0,49,0.48883039271485484,1x16,3.999454268051457,16,2.4430465827949677,4.0,16,1.0,0,16,16,1.0,0.0625423437726087,"{""A0004"": 14056}",0.0,1,"{""B0001"": 901, ""B0002"": 882, ""B0003"": 824, ""B0004"": 893, ""B0005"": 894, ""B0006"": 870, ""B0007"": 890, ""B0008"": 883, ""B0009"": 852, ""B0010"": 915, ""B0011"": 878, ""B0012"": 902, ""B0013"": 865, ""B0014"": 832, ""B0015"": 889, ""B0016"": 886}",3.999454268051457,16,2,1.0,1.0,14056,7185,2941,"{""0"": 883, ""1"": 886, ""10"": 893, ""11"": 824, ""12"": 889, ""13"": 902, ""14"": 832, ""15"": 890, ""2"": 865, ""3"": 882, ""4"": 894, ""5"": 870, ""6"": 915, ""7"": 852, ""8"": 878, ""9"": 901}",a7a1fbda61bdabc36ea5b5905f006deaeb56433008ef2da52c4f9ba261948133,3.997220576472251,1.0,1.0,48,0.2853757616790792,1x16,3.997220576472251,16,1.9121376811594204,4.0,16,1.0,0,16,16,1.0,0.06310465392579517,"{""A0004"": 2954}",0.0,1,"{""B0001"": 206, ""B0002"": 166, ""B0003"": 171, ""B0004"": 183, ""B0005"": 199, ""B0006"": 192, ""B0007"": 176, ""B0008"": 200, ""B0009"": 176, ""B0010"": 170, ""B0011"": 183, ""B0012"": 184, ""B0013"": 195, ""B0014"": 181, ""B0015"": 178, ""B0016"": 194}",3.997220576472251,16,2,1.0,1.0,2954,2111,1104,"{""0"": 200, ""1"": 194, ""10"": 183, ""11"": 171, ""12"": 178, ""13"": 184, ""14"": 181, ""15"": 176, ""2"": 195, ""3"": 166, ""4"": 199, ""5"": 192, ""6"": 170, ""7"": 176, ""8"": 183, ""9"": 206}"
french_profiterole_ud218,French,1x16,40814041439,d0a87efac3fc3bd653271f5830e6943a8bafd30d99b108eb61171609e17a9dfa,1de21b8c71e4ded6a9c64758173d63f0b2dbe7ba0502a5447eadb3896d9118f7,False,5eda2510dd3f08bdf2864da61c8cf26df504f879141da5cf55511080f728cd93,3.9984764976005143,1.0,1.0,49,0.48527319294251564,1x16,3.9984764976005143,16,2.4600476028561715,4.0,16,1.0,0,16,16,1.0,0.06252882081129654,"{""A0003"": 14056}",0.0,1,"{""B0001"": 886, ""B0002"": 889, ""B0003"": 848, ""B0004"": 937, ""B0005"": 805, ""B0006"": 904, ""B0007"": 860, ""B0008"": 927, ""B0009"": 859, ""B0010"": 929, ""B0011"": 907, ""B0012"": 853, ""B0013"": 916, ""B0014"": 878, ""B0015"": 860, ""B0016"": 798}",3.9984764976005143,16,2,1.0,1.0,14056,7235,2941,"{""0"": 805, ""1"": 907, ""10"": 927, ""11"": 848, ""12"": 937, ""13"": 860, ""14"": 853, ""15"": 798, ""2"": 916, ""3"": 886, ""4"": 889, ""5"": 859, ""6"": 860, ""7"": 878, ""8"": 904, ""9"": 929}",c27efd758c3f0492c4b39055aec427cb31c58cb78d42e3a95da8805bc23e9fa6,3.9973546936710065,1.0,1.0,48,0.27995937711577523,1x16,3.9973546936710065,16,1.9266304347826086,4.0,16,1.0,0,16,16,1.0,0.06374961811331002,"{""A0003"": 2954}",0.0,1,"{""B0001"": 187, ""B0002"": 214, ""B0003"": 179, ""B0004"": 184, ""B0005"": 167, ""B0006"": 172, ""B0007"": 189, ""B0008"": 190, ""B0009"": 172, ""B0010"": 173, ""B0011"": 186, ""B0012"": 177, ""B0013"": 194, ""B0014"": 185, ""B0015"": 197, ""B0016"": 188}",3.9973546936710065,16,2,1.0,1.0,2954,2127,1104,"{""0"": 167, ""1"": 186, ""10"": 190, ""11"": 179, ""12"": 184, ""13"": 189, ""14"": 177, ""15"": 188, ""2"": 194, ""3"": 187, ""4"": 214, ""5"": 172, ""6"": 197, ""7"": 185, ""8"": 172, ""9"": 173}"
french_profiterole_ud218,French,1x16,40814041440,9314a35b65552c109d0eed36ca3859afc76aab240850b740a29c13ed286c6147,8e57269f04b133b6c89561dad5b393d76d7a6a7db9cc855d3c8fd1f6553ab1df,False,f5d9a973a6fcf590a7b9e4c541844b7886d28324d6c163be7a37116652458413,3.9993370849576033,1.0,1.0,49,0.4889015367103017,1x16,3.9993370849576033,16,2.442706562393744,4.0,16,1.0,0,16,16,1.0,0.06203928961179635,"{""A0004"": 14056}",0.0,1,"{""B0001"": 904, ""B0002"": 865, ""B0003"": 857, ""B0004"": 885, ""B0005"": 820, ""B0006"": 881, ""B0007"": 846, ""B0008"": 833, ""B0009"": 901, ""B0010"": 903, ""B0011"": 898, ""B0012"": 912, ""B0013"": 886, ""B0014"": 872, ""B0015"": 895, ""B0016"": 898}",3.9993370849576033,16,2,1.0,1.0,14056,7184,2941,"{""0"": 833, ""1"": 881, ""10"": 820, ""11"": 885, ""12"": 912, ""13"": 898, ""14"": 904, ""15"": 898, ""2"": 903, ""3"": 872, ""4"": 895, ""5"": 901, ""6"": 857, ""7"": 846, ""8"": 865, ""9"": 886}",09d00eb2339c188cbd05b0ae1f39f6005ad1cbae8aa9f7c4f4c315cfc895398c,3.995388906129265,1.0,1.0,48,0.2843601895734597,1x16,3.995388906129265,16,1.914855072463768,4.0,16,1.0,0,16,16,1.0,0.06330832682711565,"{""A0004"": 2954}",0.0,1,"{""B0001"": 171, ""B0002"": 203, ""B0003"": 199, ""B0004"": 191, ""B0005"": 166, ""B0006"": 190, ""B0007"": 173, ""B0008"": 198, ""B0009"": 174, ""B0010"": 172, ""B0011"": 205, ""B0012"": 189, ""B0013"": 170, ""B0014"": 159, ""B0015"": 189, ""B0016"": 205}",3.995388906129265,16,2,1.0,1.0,2954,2114,1104,"{""0"": 198, ""1"": 190, ""10"": 166, ""11"": 191, ""12"": 189, ""13"": 205, ""14"": 171, ""15"": 205, ""2"": 172, ""3"": 159, ""4"": 189, ""5"": 174, ""6"": 199, ""7"": 173, ""8"": 203, ""9"": 170}"
french_profiterole_ud218,French,1x16,40814041441,3a890a0021083209edaf657651ac892593534fbcc4220519d6a2c54308eb3120,963bcdd917bc0959bf5fc4e65209ac755ffcafb26eb8b80a823727725cf8973a,False,962caccb035f83e2c4339c4e997665ad150928bf57e87a9de43703534dc0f09e,3.9985389084785368,1.0,1.0,49,0.4851309049516221,1x16,3.9985389084785368,16,2.4607276436586196,4.0,16,1.0,0,16,16,1.0,0.06251124096159073,"{""A0004"": 14056}",0.0,1,"{""B0001"": 868, ""B0002"": 907, ""B0003"": 952, ""B0004"": 876, ""B0005"": 867, ""B0006"": 870, ""B0007"": 942, ""B0008"": 844, ""B0009"": 852, ""B0010"": 949, ""B0011"": 807, ""B0012"": 840, ""B0013"": 879, ""B0014"": 890, ""B0015"": 862, ""B0016"": 851}",3.9985389084785368,16,2,1.0,1.0,14056,7237,2941,"{""0"": 852, ""1"": 876, ""10"": 807, ""11"": 907, ""12"": 879, ""13"": 844, ""14"": 942, ""15"": 870, ""2"": 867, ""3"": 840, ""4"": 868, ""5"": 862, ""6"": 949, ""7"": 952, ""8"": 890, ""9"": 851}",5444f871d426498a0dab6e244a6d332ef245b2f1c322eb743dae53c25f82bda4,3.9970584059639713,1.0,1.0,48,0.2789438050101557,1x16,3.9970584059639713,16,1.9293478260869565,4.0,16,1.0,0,16,16,1.0,0.0605926881428426,"{""A0004"": 2954}",0.0,1,"{""B0001"": 172, ""B0002"": 174, ""B0003"": 199, ""B0004"": 180, ""B0005"": 194, ""B0006"": 185, ""B0007"": 178, ""B0008"": 197, ""B0009"": 192, ""B0010"": 186, ""B0011"": 205, ""B0012"": 169, ""B0013"": 183, ""B0014"": 170, ""B0015"": 201, ""B0016"": 169}",3.9970584059639713,16,2,1.0,1.0,2954,2130,1104,"{""0"": 192, ""1"": 180, ""10"": 205, ""11"": 174, ""12"": 183, ""13"": 197, ""14"": 178, ""15"": 185, ""2"": 194, ""3"": 169, ""4"": 172, ""5"": 201, ""6"": 186, ""7"": 199, ""8"": 170, ""9"": 169}"
french_profiterole_ud218,French,1x16,40814041442,b69e2b237c411c7caba395b4ce4ca8139dd85011a3b56122a6a9a6ed1b87a3a2,23e237d1fdd4bcb6eacf26a7d051a22789b254a797a58593b40a081186e5f81a,False,1ffe2cb2e2853ca7b1eca3dacc894aec7c7d31982643639a0c0cc52d78650c52,3.9990983423054383,1.0,1.0,49,0.4873363688104724,1x16,3.9990983423054383,16,2.4501870112206734,4.0,16,1.0,0,16,16,1.0,0.06265728894376206,"{""A0003"": 14056}",0.0,1,"{""B0001"": 906, ""B0002"": 854, ""B0003"": 837, ""B0004"": 868, ""B0005"": 894, ""B0006"": 876, ""B0007"": 815, ""B0008"": 874, ""B0009"": 863, ""B0010"": 928, ""B0011"": 900, ""B0012"": 856, ""B0013"": 852, ""B0014"": 896, ""B0015"": 914, ""B0016"": 923}",3.9990983423054383,16,2,1.0,1.0,14056,7206,2941,"{""0"": 914, ""1"": 863, ""10"": 896, ""11"": 856, ""12"": 906, ""13"": 815, ""14"": 894, ""15"": 854, ""2"": 923, ""3"": 868, ""4"": 876, ""5"": 928, ""6"": 852, ""7"": 900, ""8"": 874, ""9"": 837}",7ea4b085e0843a6b33a3488dedde927c9503c8e822a0118de4b5fd83de5cce62,3.994738514666403,1.0,1.0,48,0.2789438050101557,1x16,3.994738514666403,16,1.9293478260869565,4.0,16,1.0,0,16,16,1.0,0.06171288910010523,"{""A0003"": 2954}",0.0,1,"{""B0001"": 203, ""B0002"": 194, ""B0003"": 184, ""B0004"": 166, ""B0005"": 158, ""B0006"": 161, ""B0007"": 200, ""B0008"": 210, ""B0009"": 175, ""B0010"": 184, ""B0011"": 173, ""B0012"": 186, ""B0013"": 192, ""B0014"": 179, ""B0015"": 211, ""B0016"": 178}",3.994738514666403,16,2,1.0,1.0,2954,2130,1104,"{""0"": 211, ""1"": 175, ""10"": 179, ""11"": 186, ""12"": 203, ""13"": 200, ""14"": 158, ""15"": 194, ""2"": 178, ""3"": 166, ""4"": 161, ""5"": 184, ""6"": 192, ""7"": 173, ""8"": 210, ""9"": 184}"
french_profiterole_ud218,French,2x8,40814041438,9078b43d2fa6e218c883474ff7919b0a25151a2eecd60f9abaab3fe7960302eb,f03aefec7a9e745f90eacb0eadc8898d009d904b376e2fcbe76419132cf09ae6,False,48ae9b37458f49de26d9e6dcce325495557dee581506d1977e2cc65bb223a0a0,3.999454268051457,1.0,1.0,42,0.48883039271485484,2x8,3.999454268051457,16,2.4430465827949677,4.0,16,1.0,0,16,16,1.0,0.0625423437726087,"{""A0003"": 7009, ""A0004"": 7047}",0.9999947278377326,2,"{""B0002"": 1706, ""B0005"": 1783, ""B0006"": 1772, ""B0008"": 1761, ""B0009"": 1742, ""B0010"": 1747, ""B0013"": 1758, ""B0016"": 1787}",2.9998609280577027,8,2,1.0,1.0,14056,7185,2941,"{""0"": 883, ""1"": 886, ""10"": 893, ""11"": 824, ""12"": 889, ""13"": 902, ""14"": 832, ""15"": 890, ""2"": 865, ""3"": 882, ""4"": 894, ""5"": 870, ""6"": 915, ""7"": 852, ""8"": 878, ""9"": 901}",a7a1fbda61bdabc36ea5b5905f006deaeb56433008ef2da52c4f9ba261948133,3.997220576472251,1.0,1.0,41,0.2853757616790792,2x8,3.997220576472251,16,1.9121376811594204,4.0,16,1.0,0,16,16,1.0,0.06310465392579517,"{""A0003"": 1462, ""A0004"": 1492}",0.999925599897058,2,"{""B0002"": 337, ""B0005"": 377, ""B0006"": 376, ""B0008"": 383, ""B0009"": 352, ""B0010"": 351, ""B0013"": 378, ""B0016"": 400}",2.9980155367562222,8,2,1.0,1.0,2954,2111,1104,"{""0"": 200, ""1"": 194, ""10"": 183, ""11"": 171, ""12"": 178, ""13"": 184, ""14"": 181, ""15"": 176, ""2"": 195, ""3"": 166, ""4"": 199, ""5"": 192, ""6"": 170, ""7"": 176, ""8"": 183, ""9"": 206}"
french_profiterole_ud218,French,2x8,40814041439,d0a87efac3fc3bd653271f5830e6943a8bafd30d99b108eb61171609e17a9dfa,1de21b8c71e4ded6a9c64758173d63f0b2dbe7ba0502a5447eadb3896d9118f7,False,5eda2510dd3f08bdf2864da61c8cf26df504f879141da5cf55511080f728cd93,3.9984764976005143,1.0,1.0,42,0.48527319294251564,2x8,3.9984764976005143,16,2.4600476028561715,4.0,16,1.0,0,16,16,1.0,0.06252882081129654,"{""A0001"": 7056, ""A0003"": 7000}",0.9999885501908105,2,"{""B0001"": 1734, ""B0002"": 1826, ""B0005"": 1709, ""B0009"": 1719, ""B0011"": 1836, ""B0013"": 1843, ""B0014"": 1676, ""B0015"": 1713}",2.9990929181211876,8,2,1.0,1.0,14056,7235,2941,"{""0"": 805, ""1"": 907, ""10"": 927, ""11"": 848, ""12"": 937, ""13"": 860, ""14"": 853, ""15"": 798, ""2"": 916, ""3"": 886, ""4"": 889, ""5"": 859, ""6"": 860, ""7"": 878, ""8"": 904, ""9"": 929}",c27efd758c3f0492c4b39055aec427cb31c58cb78d42e3a95da8805bc23e9fa6,3.9973546936710065,1.0,1.0,41,0.27995937711577523,2x8,3.9973546936710065,16,1.9266304347826086,4.0,16,1.0,0,16,16,1.0,0.06374961811331002,"{""A0001"": 1452, ""A0003"": 1502}",0.9997933267308468,2,"{""B0001"": 366, ""B0002"": 398, ""B0005"": 339, ""B0009"": 361, ""B0011"": 359, ""B0013"": 384, ""B0014"": 373, ""B0015"": 374}",2.998556030239942,8,2,1.0,1.0,2954,2127,1104,"{""0"": 167, ""1"": 186, ""10"": 190, ""11"": 179, ""12"": 184, ""13"": 189, ""14"": 177, ""15"": 188, ""2"": 194, ""3"": 187, ""4"": 214, ""5"": 172, ""6"": 197, ""7"": 185, ""8"": 172, ""9"": 173}"
french_profiterole_ud218,French,2x8,40814041440,9314a35b65552c109d0eed36ca3859afc76aab240850b740a29c13ed286c6147,8e57269f04b133b6c89561dad5b393d76d7a6a7db9cc855d3c8fd1f6553ab1df,False,f5d9a973a6fcf590a7b9e4c541844b7886d28324d6c163be7a37116652458413,3.9993370849576033,1.0,1.0,42,0.4889015367103017,2x8,3.9993370849576033,16,2.442706562393744,4.0,16,1.0,0,16,16,1.0,0.06203928961179635,"{""A0003"": 7068, ""A0004"": 6988}",0.9999766329781297,2,"{""B0003"": 1761, ""B0006"": 1767, ""B0007"": 1744, ""B0008"": 1698, ""B0009"": 1799, ""B0010"": 1723, ""B0014"": 1757, ""B0015"": 1807}",2.999731394458182,8,2,1.0,1.0,14056,7184,2941,"{""0"": 833, ""1"": 881, ""10"": 820, ""11"": 885, ""12"": 912, ""13"": 898, ""14"": 904, ""15"": 898, ""2"": 903, ""3"": 872, ""4"": 895, ""5"": 901, ""6"": 857, ""7"": 846, ""8"": 865, ""9"": 886}",09d00eb2339c188cbd05b0ae1f39f6005ad1cbae8aa9f7c4f4c315cfc895398c,3.995388906129265,1.0,1.0,41,0.2843601895734597,2x8,3.995388906129265,16,1.914855072463768,4.0,16,1.0,0,16,16,1.0,0.06330832682711565,"{""A0003"": 1500, ""A0004"": 1454}",0.9998250730281761,2,"{""B0003"": 370, ""B0006"": 360, ""B0007"": 378, ""B0008"": 401, ""B0009"": 379, ""B0010"": 338, ""B0014"": 350, ""B0015"": 378}",2.998217152111841,8,2,1.0,1.0,2954,2114,1104,"{""0"": 198, ""1"": 190, ""10"": 166, ""11"": 191, ""12"": 189, ""13"": 205, ""14"": 171, ""15"": 205, ""2"": 172, ""3"": 159, ""4"": 189, ""5"": 174, ""6"": 199, ""7"": 173, ""8"": 203, ""9"": 170}"
french_profiterole_ud218,French,2x8,40814041441,3a890a0021083209edaf657651ac892593534fbcc4220519d6a2c54308eb3120,963bcdd917bc0959bf5fc4e65209ac755ffcafb26eb8b80a823727725cf8973a,False,962caccb035f83e2c4339c4e997665ad150928bf57e87a9de43703534dc0f09e,3.9985389084785368,1.0,1.0,42,0.4851309049516221,2x8,3.9985389084785368,16,2.4607276436586196,4.0,16,1.0,0,16,16,1.0,0.06251124096159073,"{""A0002"": 6990, ""A0004"": 7066}",0.9999789112738633,2,"{""B0001"": 1747, ""B0003"": 1822, ""B0004"": 1727, ""B0005"": 1674, ""B0009"": 1742, ""B0010"": 1891, ""B0012"": 1747, ""B0015"": 1706}",2.9990464012451823,8,2,1.0,1.0,14056,7237,2941,"{""0"": 852, ""1"": 876, ""10"": 807, ""11"": 907, ""12"": 879, ""13"": 844, ""14"": 942, ""15"": 870, ""2"": 867, ""3"": 840, ""4"": 868, ""5"": 862, ""6"": 949, ""7"": 952, ""8"": 890, ""9"": 851}",5444f871d426498a0dab6e244a6d332ef245b2f1c322eb743dae53c25f82bda4,3.9970584059639713,1.0,1.0,41,0.2789438050101557,2x8,3.9970584059639713,16,1.9293478260869565,4.0,16,1.0,0,16,16,1.0,0.0605926881428426,"{""A0002"": 1461, ""A0004"": 1493}",0.9999153490157096,2,"{""B0001"": 355, ""B0003"": 384, ""B0004"": 349, ""B0005"": 399, ""B0009"": 362, ""B0010"": 364, ""B0012"": 343, ""B0015"": 398}",2.99782230615542,8,2,1.0,1.0,2954,2130,1104,"{""0"": 192, ""1"": 180, ""10"": 205, ""11"": 174, ""12"": 183, ""13"": 197, ""14"": 178, ""15"": 185, ""2"": 194, ""3"": 169, ""4"": 172, ""5"": 201, ""6"": 186, ""7"": 199, ""8"": 170, ""9"": 169}"
french_profiterole_ud218,French,2x8,40814041442,b69e2b237c411c7caba395b4ce4ca8139dd85011a3b56122a6a9a6ed1b87a3a2,23e237d1fdd4bcb6eacf26a7d051a22789b254a797a58593b40a081186e5f81a,False,1ffe2cb2e2853ca7b1eca3dacc894aec7c7d31982643639a0c0cc52d78650c52,3.9990983423054383,1.0,1.0,42,0.4873363688104724,2x8,3.9990983423054383,16,2.4501870112206734,4.0,16,1.0,0,16,16,1.0,0.06265728894376206,"{""A0002"": 6932, ""A0003"": 7124}",0.9998654024948423,2,"{""B0004"": 1724, ""B0006"": 1782, ""B0009"": 1700, ""B0010"": 1743, ""B0011"": 1754, ""B0013"": 1746, ""B0015"": 1788, ""B0016"": 1819}",2.9997054486062535,8,2,1.0,1.0,14056,7206,2941,"{""0"": 914, ""1"": 863, ""10"": 896, ""11"": 856, ""12"": 906, ""13"": 815, ""14"": 894, ""15"": 854, ""2"": 923, ""3"": 868, ""4"": 876, ""5"": 928, ""6"": 852, ""7"": 900, ""8"": 874, ""9"": 837}",7ea4b085e0843a6b33a3488dedde927c9503c8e822a0118de4b5fd83de5cce62,3.994738514666403,1.0,1.0,41,0.2789438050101557,2x8,3.994738514666403,16,1.9293478260869565,4.0,16,1.0,0,16,16,1.0,0.06171288910010523,"{""A0002"": 1514, ""A0003"": 1440}",0.999547277131367,2,"{""B0004"": 352, ""B0006"": 364, ""B0009"": 359, ""B0010"": 384, ""B0011"": 367, ""B0013"": 350, ""B0015"": 421, ""B0016"": 357}",2.997522806256946,8,2,1.0,1.0,2954,2130,1104,"{""0"": 211, ""1"": 175, ""10"": 179, ""11"": 186, ""12"": 203, ""13"": 200, ""14"": 158, ""15"": 194, ""2"": 178, ""3"": 166, ""4"": 161, ""5"": 184, ""6"": 192, ""7"": 173, ""8"": 210, ""9"": 184}"
