source_id,language,family,control_seed,relation,competitor,selected_hyperparameter,bootstrap_units,bootstrap_replicates,bootstrap_seed,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event,relative_nll_reduction_trigram_vs_competitor,ci_95_lower,ci_95_upper,bootstrap_probability_trigram_better,bootstrap_probability_competitor_better,direction_match_voynich,strong_direction_match_voynich,factorization,phase3a5_mechanism
french_profiterole_ud218,French,compositional_affix_1x16,40814041441,token_markov,exact_token_markov,1,387,10000,9171728344285655639,2.5290586119560126,2.5189321353065988,0.010126476649413796,0.004004049807917243,-0.006090312804149478,0.026358509685117926,0.8901,0.1099,True,False,1x16,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_1x16,40814041441,copy_edit,local_copy_edit,16,387,10000,404320809898363360,4.299132504424284,2.5189321353065988,1.780200369117685,0.4140836243790258,1.7544527917575508,1.8059174699263871,1.0,0.0,True,True,1x16,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_1x16,40814041442,hmm_space_free,categorical_hmm,16,387,10000,8789412859144433691,3.259308436581835,2.9483770897552284,0.3109313468266066,0.09539795109194771,0.29023091293340364,0.3316290294472683,1.0,0.0,True,True,1x16,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_1x16,40814041442,hmm_token_aware,categorical_hmm,16,387,10000,2226731634116198265,2.8595543745439254,2.5594410355374957,0.30011333900642967,0.10495108667213049,0.28208435063147236,0.31744855034958597,1.0,0.0,True,True,1x16,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_1x16,40814041442,slot_grammar,finite_template_slot_grammar,16,387,10000,8489780170438567083,3.0453034222869086,2.517333980535481,0.5279694417514276,0.17337170341960284,0.5091410553769959,0.547543832159567,1.0,0.0,True,True,1x16,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_1x16,40814041442,token_markov,exact_token_markov,1,387,10000,2144917536677835053,2.5258446081727146,2.517333980535481,0.008510627637233537,0.0033694185341790472,-0.007109006717858512,0.023686410802056943,0.8581,0.1419,True,False,1x16,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_1x16,40814041442,copy_edit,local_copy_edit,16,387,10000,3109482903756461436,4.298303826452442,2.517333980535481,1.7809698459169612,0.4143424750378488,1.7560078997104283,1.8069456298688942,1.0,0.0,True,True,1x16,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041438,hmm_space_free,categorical_hmm,16,387,10000,5527412446628106378,3.269354941276813,2.9437537931065703,0.32560114817024255,0.09959186262079045,0.30438638023093423,0.346495360507666,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041438,hmm_token_aware,categorical_hmm,16,387,10000,4170795861148591648,2.863607850137425,2.5605410782161777,0.3030667719212472,0.10583389478650262,0.28406794235180355,0.3213546901042575,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041438,slot_grammar,finite_template_slot_grammar,16,387,10000,2184528418753028559,3.032958351638932,2.518437153121857,0.514521198517075,0.16964334450522256,0.49494967636497145,0.5343400035226828,1.0,0.0,True,True,2x8,compositional_affix_factorization
