replicate,lag16_match_rate,short_lag_mean,cycle16_contrast,lag32_match_rate
1,0.47301430241971754,0.4854435296316355,-0.01242922721191797,0.4518284858853721
2,0.47845641809840783,0.48485632251160293,-0.006399904413195101,0.4494225834046193
3,0.4748133489250697,0.48538760677324966,-0.010574257848179947,0.4513473053892216
4,0.4758478006656472,0.48628654490885964,-0.01043874424321245,0.4522027373823781
5,0.4732841593955204,0.4840925359772826,-0.010808376581762202,0.4545551753635586
6,0.4757578483403796,0.48452432288293074,-0.00876647454255114,0.450491873396065
7,0.47274444544391475,0.4853268129671858,-0.012582367523271076,0.452363130881095
8,0.4747233965998021,0.48472575830728193,-0.010002361707479812,0.45551753635585973
9,0.47431861113609786,0.4846198246039047,-0.010301213467806825,0.4480859709153122
10,0.4724296123054781,0.48375928105573796,-0.01132966875025987,0.45204234388366127
11,0.4711702797517316,0.48466386216341717,-0.013493582411685578,0.45102651839178787
12,0.471305208239633,0.4846989137204433,-0.013393705480810314,0.45434131736526945
13,0.475667896015112,0.4846332084145243,-0.008965312399412284,0.4511869118905047
14,0.47346406404605557,0.48450202024670136,-0.011037956200645793,0.4465889649272883
15,0.47494827741297113,0.48423622514258974,-0.009287947729618606,0.4546086398631309
16,0.47368894485922464,0.4850857041374487,-0.011396759278224089,0.4506522668947819
17,0.473823873347126,0.4847255695735108,-0.010901696226384816,0.45241659538066725
18,0.48079517855536563,0.4849623356573731,-0.0041671571020074905,0.45300470487596234
19,0.47539803903930916,0.4849668209807446,-0.009568781941435456,0.446535500427716
20,0.47841144193577406,0.48368055543613175,-0.005269113500357692,0.45209580838323354
21,0.4773769901951965,0.48486331770781255,-0.00748632751261602,0.45503635585970914
22,0.4794009175137177,0.4851507980042173,-0.00574988049049957,0.45311163387510695
23,0.478186561122605,0.48571656853569856,-0.007530007413093565,0.4506522668947819
24,0.4743635872987317,0.4838776648245251,-0.009514077525793418,0.44712360992301114
25,0.47935594135108395,0.48471751636015725,-0.005361575009073305,0.4545551753635586
26,0.47215975532967525,0.48437489362283487,-0.012215138293159622,0.44835329341317365
27,0.47090042277592875,0.4845366673865362,-0.013636244610607473,0.4512938408896493
28,0.4734190878834218,0.48508116548785146,-0.011662077604429666,0.45006415739948674
29,0.4713501844022668,0.4845392269062937,-0.013189042504026915,0.4508126603934987
30,0.473823873347126,0.4849299720445497,-0.011106098697423683,0.45070573139435416
31,0.47144013672753443,0.48440988245194105,-0.012969745724406623,0.450491873396065
32,0.47656741926778806,0.48410727490771543,-0.007539855639927373,0.45327202737382377
33,0.4717099937033372,0.4848898754517788,-0.013179881748441591,0.45124037639007697
34,0.47764684717099937,0.48468667789206277,-0.0070398307210634,0.4495295124037639
35,0.47323918323288655,0.4840389506200117,-0.010799767387125125,0.4473909324208725
36,0.47494827741297113,0.48400678592804586,-0.009058508515074726,0.45204234388366127
37,0.4736439686965908,0.4841625608985272,-0.010518592201936405,0.44851368691189053
38,0.473598992533957,0.48428256681232645,-0.010683574278369468,0.45305816937553467
39,0.47337411172078797,0.4856334694599747,-0.012259357739186738,0.45412745936698035
40,0.47616263380408386,0.4847752901294578,-0.008612656325373946,0.45444824636441405
41,0.4751281820635063,0.48471805608808793,-0.009589874024581613,0.4512938408896493
42,0.471530089052802,0.4848305421560658,-0.013300453103263776,0.45498289136013687
43,0.4747683727624359,0.4852828648858394,-0.010514492123403496,0.4505988023952096
44,0.47634253845461905,0.4839985068074081,-0.007655968352789033,0.4535393498716852
45,0.4738688495097598,0.4854977499464167,-0.011628900436656875,0.4470701454234388
46,0.47611765764145003,0.4849027767636102,-0.008785119122160179,0.4495295124037639
47,0.47121525591436536,0.48415631367767487,-0.012941057763309505,0.4532185628742515
48,0.4713501844022668,0.48530671018246613,-0.013956525780199347,0.4499572284003422
49,0.4759827291535486,0.48403693487184635,-0.008054205718297736,0.4495829769033362
50,0.47625258612935145,0.484347770581804,-0.008095184452452553,0.4515076988879384
51,0.4758478006656472,0.4849452820309471,-0.00909748136529992,0.4525235243798118
52,0.4772420617072951,0.48374012045596243,-0.006498058748667324,0.4498502994011976
53,0.47508320590087255,0.48555940802715025,-0.0104762021262777,0.4451988879384089
54,0.47616263380408386,0.48439947746553785,-0.008236843661453996,0.4554640718562874
55,0.4693712332463794,0.48437928285311826,-0.01500804960673885,0.4564798973481608
56,0.473598992533957,0.48535476142744005,-0.011755768893483065,0.45514328485885375
57,0.4769272285688585,0.48456019352376317,-0.007632964954904675,0.4556244653550043
58,0.47197985067914006,0.48377700753532404,-0.011797156856183988,0.45375320786997436
59,0.4716200413780696,0.4843869310552644,-0.012766889677194804,0.4564264328485885
60,0.47283439776918235,0.4843053880615308,-0.011470990292348437,0.45198887938408894
61,0.47346406404605557,0.484689644372644,-0.011225580326588436,0.4492087254063302
62,0.47112530358909777,0.4848967945845796,-0.013771490995481861,0.450491873396065
63,0.47494827741297113,0.48501442296005237,-0.01006614554708124,0.4509730538922156
64,0.47260951695601333,0.4839836938326444,-0.01137417687663106,0.4499572284003422
65,0.47377889718449223,0.48506477266188525,-0.011285875477393015,0.45466210436270316
66,0.4770171808941261,0.4845352526220096,-0.007518071727883491,0.4518819503849444
67,0.4767923000809571,0.4849201351958514,-0.008127835114894344,0.4522027373823781
68,0.4735540163713232,0.4843918418596215,-0.010837825488298258,0.4546086398631309
69,0.47391382567239365,0.484734652366356,-0.010820826693962338,0.4511869118905047
70,0.47548799136457676,0.4845794089868649,-0.009091417622288156,0.44872754491017963
71,0.47521813438877397,0.48616600456279435,-0.01094787017402038,0.454073994867408
72,0.4747683727624359,0.48365214849610666,-0.008883775733670773,0.4533789563729683
73,0.47418368264819644,0.4859614174636713,-0.011777734815474838,0.45177502138579984
74,0.47301430241971754,0.4844231075209484,-0.011408805101230879,0.45193541488451666
75,0.47418368264819644,0.4852320013549879,-0.01104831870679146,0.45247005988023953
76,0.47499325357560496,0.485349249329686,-0.010355995754081027,0.45551753635585973
77,0.4738688495097598,0.4845995644122739,-0.010730714902514094,0.4516680923866553
78,0.47634253845461905,0.4844886491011351,-0.008146110646516047,0.4511869118905047
79,0.47188989835387246,0.4847762731753267,-0.012886374821454216,0.4488879384088965
80,0.47368894485922464,0.4846375794326723,-0.01094863457344769,0.45140076988879385
81,0.4759827291535486,0.48424070032668476,-0.008257971173136147,0.4564798973481608
82,0.47431861113609786,0.48355990796334686,-0.009241296827249001,0.45198887938408894
83,0.47229468381757667,0.4851734010808219,-0.012878717263245243,0.45006415739948674
84,0.47539803903930916,0.48418366342430996,-0.008785624385000801,0.45375320786997436
85,0.4756229198524782,0.4842737668597834,-0.008650847007305229,0.4564264328485885
86,0.47634253845461905,0.4842689108817522,-0.007926372427133177,0.4528977758768178
