source_id,language,family,control_seed,relation,competitor,selected_hyperparameter,bootstrap_units,bootstrap_replicates,bootstrap_seed,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event,relative_nll_reduction_trigram_vs_competitor,ci_95_lower,ci_95_upper,bootstrap_probability_trigram_better,bootstrap_probability_competitor_better,direction_match_voynich,strong_direction_match_voynich,phase3b_evaluation_split,phase3b_allocation
french_profiterole_ud218,French,phase3b_recurrence_avoiding_surface_allocation,40814041441,slot_grammar,finite_template_slot_grammar,16,387,10000,4262387646406571446,3.3714940530373596,2.917751426379104,0.4537426266582556,0.13458206347701596,0.43399574780947103,0.4731819241925666,1.0,0.0,True,True,reserved_test,balanced16
french_profiterole_ud218,French,phase3b_recurrence_avoiding_surface_allocation,40814041441,token_markov,exact_token_markov,1,387,10000,6248139634897591890,2.998059259023065,2.917751426379104,0.0803078326439608,0.026786606169395544,0.0674596405956163,0.09307130314600942,1.0,0.0,True,True,reserved_test,balanced16
french_profiterole_ud218,French,phase3b_recurrence_avoiding_surface_allocation,40814041441,copy_edit,local_copy_edit,16,387,10000,8528108842714769528,4.416793193882495,2.917751426379104,1.4990417675033911,0.33939596030433283,1.472273034031121,1.525495202788175,1.0,0.0,True,True,reserved_test,balanced16
french_profiterole_ud218,French,phase3b_recurrence_avoiding_surface_allocation,40814041442,hmm_space_free,categorical_hmm,16,387,10000,4251466104875526013,3.9001872554834383,3.5387432113729975,0.36144404411044073,0.09267351038139804,0.33429824583163215,0.38772610094515386,1.0,0.0,True,True,reserved_test,balanced16
french_profiterole_ud218,French,phase3b_recurrence_avoiding_surface_allocation,40814041442,hmm_token_aware,categorical_hmm,16,387,10000,6957585242670703312,3.338203326013891,2.9839926375110646,0.35421068850282644,0.1061081827288769,0.3329180754909561,0.3754931291473101,1.0,0.0,True,True,reserved_test,balanced16
french_profiterole_ud218,French,phase3b_recurrence_avoiding_surface_allocation,40814041442,slot_grammar,finite_template_slot_grammar,16,387,10000,9153171533467520707,3.3702641996551206,2.9208088140515205,0.4494553856036001,0.13335909560134562,0.4300861344557749,0.4690631137050907,1.0,0.0,True,True,reserved_test,balanced16
french_profiterole_ud218,French,phase3b_recurrence_avoiding_surface_allocation,40814041442,token_markov,exact_token_markov,1,387,10000,8954596052509407553,3.0005179541774045,2.9208088140515205,0.07970914012588404,0.02656512686914958,0.06670464577836482,0.09249242832998875,1.0,0.0,True,True,reserved_test,balanced16
french_profiterole_ud218,French,phase3b_recurrence_avoiding_surface_allocation,40814041442,copy_edit,local_copy_edit,16,387,10000,3640605152410800158,4.418294103190829,2.9208088140515205,1.4974852891393082,0.33892838597092156,1.4697458067848366,1.5241474026472002,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041438,hmm_space_free,categorical_hmm,16,658,10000,2563029019043755736,3.9878882928455224,3.6891839289520227,0.29870436389349964,0.07490289144492601,0.27088101478168364,0.32557368518805746,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041438,hmm_token_aware,categorical_hmm,16,658,10000,332290734308304718,3.441155264400529,3.1188258642514772,0.322329400149052,0.0936689499260952,0.30004637722488336,0.34394279410053213,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041438,slot_grammar,finite_template_slot_grammar,16,658,10000,5174477026802992673,3.44534607313275,3.0004132108183055,0.4449328623144444,0.12914025263937579,0.42290965782097034,0.4667823714010028,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041438,token_markov,exact_token_markov,1,658,10000,8716935444412247257,3.1478215703165424,3.0004132108183055,0.14740835949823694,0.04682868968440723,0.13874099298945725,0.15579334845694176,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041438,copy_edit,local_copy_edit,16,658,10000,100741796765169559,4.476368425549813,3.0004132108183055,1.4759552147315076,0.3297215676679299,1.4461677419237466,1.5052193110875125,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041439,hmm_space_free,categorical_hmm,16,658,10000,382820424072999483,4.002966589907387,3.6763421042692013,0.32662448563818547,0.08159560623406115,0.3009483774835727,0.3525185340309691,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041439,hmm_token_aware,categorical_hmm,16,658,10000,7969824174348842646,3.466025715938065,3.109653643791317,0.35637207214674804,0.10281864629798254,0.3347799900349199,0.37789055059822874,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041439,slot_grammar,finite_template_slot_grammar,16,658,10000,3087611227464828613,3.435908770474359,2.992648738654593,0.4432600318197659,0.12900809114281853,0.4225110612525607,0.46440039608194766,1.0,0.0,True,True,reserved_test,balanced16
