relation,runs,mean_delta_bits_per_event,median_delta_bits_per_event,sd_delta_bits_per_event,min_delta_bits_per_event,max_delta_bits_per_event,positive_direction_runs,strong_direction_runs
hmm_space_free,20,0.3603373572852293,0.333819488349661,0.06079191204120386,0.29181766939745657,0.47090728612210864,20,20
hmm_token_aware,20,0.36662141532864334,0.35303673818596115,0.0395141967047668,0.322329400149052,0.45194936307784594,20,20
slot_grammar,20,0.507270176576653,0.48086729487764734,0.0760227956133337,0.4377285045773016,0.6408151591740308,20,20
token_markov,20,0.0943499681697704,0.10655595185423827,0.05153264907786404,0.016419855506253356,0.14852056918610268,20,20
copy_edit,20,1.4370941178500718,1.4497519948386919,0.05988309650964225,1.3431811419136688,1.499877264449165,20,20
