source_id,language,factorization,seed,selected_context_order,validation_tokens,validation_events,recomputed_competitor_bits_per_event,recomputed_trigram_bits_per_event,recomputed_delta_bits_per_event,total_token_markov_bits,total_matched_trigram_bits,total_delta_bits,stored_competitor_bits_per_event,stored_trigram_bits_per_event,stored_delta_bits_per_event,competitor_abs_error,trigram_abs_error,delta_abs_error,parity_tolerance,parity_pass,phase3a5_strong_direction_match,phase3a5_direction_match,phase3a5_ci_95_lower,phase3a5_ci_95_upper,control_corpus_sha256,control_key_sha256
french_profiterole_ud218,French,1x16,40814041438,1,2954,20655,2.5295864705733657,2.517377102686979,0.012209367886386602,52248.60854969287,51996.42405599955,252.18449369331938,2.529586470573373,2.5173771026869756,0.01220936788639726,7.105427357601002e-15,3.552713678800501e-15,1.0658141036401503e-14,1e-09,True,False,True,-0.0040458606309052405,0.02743456757641582,8bc2eacad24693c539b668d8529b2178cd7134b3dbbce8f1e9cdce519d6d73ba,ec62d49876683f9fa9c73a69cd5f49393f94e90df36dc50b1610cb0f5b211c97
french_profiterole_ud218,French,1x16,40814041439,1,2954,20655,2.5289017752597935,2.5177055843640113,0.011196190895782276,52234.466167991035,52003.20884503865,231.25732295238413,2.5289017752597887,2.5177055843640033,0.011196190895785385,4.884981308350689e-15,7.993605777301127e-15,3.1086244689504383e-15,1e-09,True,False,True,-0.004843684111296487,0.02708373322203645,180be2412fca06cc7b69553990597546e901e4b3fb94a6af413ed819e8e056a1,75693d9c516d154608c7b74bc3e8223430bfe8e5698fd2eb7326a46f4f695623
french_profiterole_ud218,French,1x16,40814041440,1,2954,20655,2.5186550092258173,2.517411363878388,0.0012436453474293785,52022.819215559255,51997.1317209081,25.68749465115252,2.518655009225816,2.517411363878379,0.001243645347436928,1.3322676295501878e-15,8.881784197001252e-15,7.549516567451064e-15,1e-09,True,False,True,-0.01638932751008403,0.01735469812036033,f7fa3f686c5b9e036664517da641cdf2848cf88e8340447d924285c51b05b167,d5c63e145916df89f7ff745cbbfd3508502a4d481faa13dcce3e9834b0eec30b
french_profiterole_ud218,French,1x16,40814041441,1,2954,20655,2.52905861195601,2.518932135306595,0.010126476649414684,52237.705629951386,52028.54325475772,209.16237519366405,2.5290586119560126,2.5189321353065988,0.010126476649413796,2.6645352591003757e-15,3.552713678800501e-15,8.881784197001252e-16,1e-09,True,False,True,-0.006090312804149478,0.026358509685117926,38e757eeefd7bf03193e23c39da991bcf960fec8f78a8c31444df936b0786360,8be17a66c8ec67475ccb21501bec46d30226a85ad25ed9148afc8ad6e5d09277
french_profiterole_ud218,French,1x16,40814041442,1,2954,20655,2.525844608172717,2.5173339805354793,0.008510627637237533,52171.32038180747,51995.53336796032,175.78701384714805,2.5258446081727146,2.517333980535481,0.008510627637233537,2.220446049250313e-15,1.7763568394002505e-15,3.9968028886505635e-15,1e-09,True,False,True,-0.007109006717858512,0.023686410802056943,9a70e7dc5315e7dd2d72ff3e81e957881b89efddfe10479268867120a3a4aee0,54c6ebe5d1f672bbe33ba46a8c5b1c9f31dc2ffdad2c02fef68d5beea598b48b
french_profiterole_ud218,French,2x8,40814041438,1,2954,20655,2.5301330520824474,2.5184371531218575,0.011695898960589979,52259.89819076295,52018.31939773197,241.57879303098161,2.530133052082446,2.518437153121857,0.01169589896058909,1.3322676295501878e-15,4.440892098500626e-16,8.881784197001252e-16,1e-09,True,False,True,-0.004492702123660829,0.027034569724033394,847c3c46156ad81d7e06f4c8a5ee9c00cd6c64f35a6f5de132457f83e0001925,c4ea693ed8673e092b99c82d97f6542e25616732d694395ac500b2e1894940f8
french_profiterole_ud218,French,2x8,40814041439,1,2954,20655,2.52989842234994,2.519305367177596,0.010593055172344101,52255.05191363802,52036.252359053244,218.79955458477343,2.529898422349946,2.5193053671775933,0.010593055172352539,5.773159728050814e-15,2.6645352591003757e-15,8.43769498715119e-15,1e-09,True,False,True,-0.005619776802954589,0.026458841426016223,cb773025b71cc444bee59f0616933d8317b3ce910346c1603a5a115225f0340a,132c0f3641fcb0827d81db93803e81200f695300d584e47de50a019373a91d61
french_profiterole_ud218,French,2x8,40814041440,1,2954,20655,2.52033319136016,2.519284721410817,0.001048469949342934,52057.48206754411,52035.825920740426,21.656146803681622,2.5203331913601628,2.519284721410822,0.0010484699493407135,2.6645352591003757e-15,4.884981308350689e-15,2.220446049250313e-15,1e-09,True,False,True,-0.016319557041811195,0.017389093501394323,4504f7e256c6fcbdaf615adba26de0bc48e655e6e21056d520268d0d189db890,f997aebf0a680839eba91f71af769fdab1cdafa794e5a8f552bd670e75b418e1
french_profiterole_ud218,French,2x8,40814041441,1,2954,20655,2.529703346812944,2.520145288790677,0.009558058022267168,52251.022628421364,52053.60093997143,197.42168844993284,2.5297033468129437,2.5201452887906775,0.00955805802226628,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,1e-09,True,False,True,-0.006457671497678086,0.025436084250177047,440e5b6f50ab1b7e93f99592ba7be5afeaef2c515f91362274ca33721143773f,fde95b0bd397a0fe4c7952e3b58d5cbb6e10fb3476d8db60194e2cf993a288fc
french_profiterole_ud218,French,2x8,40814041442,1,2954,20655,2.5269113244766985,2.518620392674095,0.008290931802603652,52193.353407066206,52022.10421068343,171.24919638277788,2.526911324476693,2.518620392674093,0.008290931802600099,5.329070518200751e-15,1.7763568394002505e-15,3.552713678800501e-15,1e-09,True,False,True,-0.007923767193183816,0.023325913146098047,ff2ca3646e9808f5a0a63d957178128d09338636fb11b8382e2c8e537cbf7831,5e6b10f45462af09c2903022025cc1610313153ff09c83a2909d87e9462185a0
