source_id,language,factorization,seed,selected_context_order,line_index,token_index,previous_plaintext_token,plaintext_token,previous_variant_index,current_variant_index,delta_bits,events,delta_bits_per_event,token_markov_better,train_plain_previous_frequency,train_plain_current_frequency,train_plain_bigram_frequency,train_plain_conditional_probability,train_plain_previous_distinct_next_types,train_plain_previous_transition_concentration,train_cipher_previous_frequency,train_cipher_current_frequency,train_cipher_bigram_frequency,train_cipher_conditional_probability,train_cipher_previous_distinct_next_types,train_cipher_previous_transition_concentration,train_variant_bigram_frequency,train_variant_conditional_probability
french_profiterole_ud218,French,1x16,40814041438,1,24,7,i,rent,6,8,2.5637916262432476,7,0.3662559466061782,False,177,2,0,0.0,76,0.3220338983050847,11,0,0,0.0,11,0.09090909090909091,44,0.055
french_profiterole_ud218,French,1x16,40814041438,1,33,1,orez,i,7,5,0.29561718194517184,4,0.07390429548629296,False,1,177,0,0.0,1,1.0,0,8,0,0.0,0,0.0,36,0.04851752021563342
french_profiterole_ud218,French,1x16,40814041438,1,33,2,i,ad,5,3,1.1688072884537473,5,0.23376145769074946,False,177,220,57,0.3220338983050847,76,0.3220338983050847,8,14,0,0.0,8,0.125,43,0.057180851063829786
french_profiterole_ud218,French,1x16,40814041438,1,33,3,ad,de,3,7,0.5481568413651701,5,0.10963136827303402,False,220,359,4,0.01834862385321101,131,0.04128440366972477,14,26,0,0.0,14,0.07142857142857142,41,0.05297157622739018
french_profiterole_ud218,French,1x16,40814041438,1,33,4,de,tuneire,7,10,2.5637916262432476,10,0.25637916262432475,False,359,0,0,0.0,155,0.14484679665738162,26,0,0,0.0,26,0.038461538461538464,40,0.05390835579514825
french_profiterole_ud218,French,1x16,40814041438,1,33,5,tuneire,e,10,12,-0.053346428876125174,4,-0.013336607219031293,True,0,509,0,0.0,0,0.0,0,37,0,0.0,0,0.0,60,0.07653061224489796
french_profiterole_ud218,French,1x16,40814041438,1,33,6,e,de,12,14,0.9363881815286543,5,0.18727763630573085,False,509,359,22,0.043222003929273084,266,0.04518664047151277,37,18,0,0.0,36,0.05405405405405406,44,0.05721716514954486
french_profiterole_ud218,French,1x16,40814041438,1,33,7,de,vent,14,1,2.605611801937876,7,0.37223025741969656,False,359,1,0,0.0,155,0.14484679665738162,18,0,0,0.0,17,0.1111111111111111,51,0.07015130674002751
french_profiterole_ud218,French,1x16,40814041438,1,33,8,vent,pluies,1,14,1.5637916262432512,9,0.17375462513813902,False,1,0,0,0.0,1,1.0,0,0,0,0.0,0,0.0,39,0.05193075898801598
french_profiterole_ud218,French,1x16,40814041438,1,33,9,pluies,e,14,15,-6.582234180463331e-05,4,-1.6455585451158328e-05,True,0,509,0,0.0,0,0.0,0,34,0,0.0,0,0.0,43,0.059147180192572216
french_profiterole_ud218,French,1x16,40814041438,1,33,10,e,gresilz,15,8,2.585486697342567,10,0.2585486697342567,False,509,0,0,0.0,266,0.04518664047151277,34,0,0,0.0,33,0.058823529411764705,47,0.061518324607329845
french_profiterole_ud218,French,1x16,40814041438,1,33,11,gresilz,desmesureement,8,2,1.5637916262432512,17,0.09198774272019125,False,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,50,0.06510416666666667
french_profiterole_ud218,French,1x16,40814041438,1,71,1,male,chançun,11,5,1.5637916262432512,10,0.1563791626243251,False,3,0,0,0.0,2,0.6666666666666666,0,0,0,0.0,0,0.0,40,0.05555555555555555
french_profiterole_ud218,French,1x16,40814041438,1,71,2,chançun,n,5,2,-0.651905677587445,4,-0.16297641939686125,True,0,105,0,0.0,0,0.0,0,12,0,0.0,0,0.0,59,0.07845744680851063
