language,phase3a5_token_relation_status,seeds,tokens,events,pooled_delta_bits_per_event,mean_seed_delta_bits_per_event,sd_seed_delta_bits_per_event,token_markov_better_token_fraction,token_markov_advantage_bits,trigram_advantage_bits,line_initial_token_fraction
French,nonrobust,5,14770,103275,0.008657261683253228,0.008657261683253332,0.003903983129051525,0.3730534867975626,15037.138765431113,15931.217465768766,0.13100880162491538
German,robust,5,14815,98925,0.07734154677190697,0.07734154677190581,0.002099204417123976,0.3338508268646642,8898.101016789291,16549.11353120092,0.22173472831589605
Italian,robust,5,14125,96920,0.06675934405364113,0.06675934405363955,0.004814082199373259,0.2937345132743363,9374.91168275581,15845.227308434025,0.038584070796460174
Latin,nonrobust,5,14315,122840,-0.05323382987792674,-0.053233829877933334,0.004232664769696706,0.3798113866573524,21326.30708887121,14787.063426665023,0.03702410059378274
