replicate,token_markov_bits_per_event,matched_trigram_bits_per_event,delta_token_minus_trigram_bits_per_event
1,2.476086015835058,2.34646119659849,0.1296248192365681
2,2.511510630025081,2.3837095182872208,0.12780111173786013
3,2.504899956928862,2.373257791498846,0.13164216543001572
4,2.4638215974261723,2.328992101217106,0.13482949620906615
5,2.3606849745722793,2.2482616782929306,0.11242329627934877
6,2.4303857273712546,2.3100170365971437,0.12036869077411083
7,2.63381370185792,2.4862322057536126,0.1475814961043076
8,2.388443885664214,2.2759624371053158,0.1124814485588983
9,2.467596993924412,2.343187228689678,0.1244097652347338
10,2.383855484759206,2.257881712581549,0.12597377217765704
11,2.6450779483136935,2.499991496458315,0.1450864518553785
12,2.4789628752262685,2.3536294249776146,0.12533345024865383
13,2.483674934697098,2.3446195142540285,0.13905542044306962
14,2.5077194628216803,2.3753010842319813,0.13241837858969907
15,2.6443237710784553,2.5000857087536206,0.14423806232483471
16,2.2831325225443266,2.1803961763113677,0.10273634623295891
17,2.523219077543794,2.3906607151196777,0.13255836242411645
18,2.4728696863270394,2.3387400027081395,0.13412968361889988
19,2.3778292551565627,2.269790448730927,0.10803880642563568
20,2.6011906108598013,2.4591250947122387,0.14206551614756258
21,2.4791225246949717,2.3426883068570397,0.13643421783793208
22,2.473096222177678,2.345351465661799,0.12774475651587913
23,2.4157831414594186,2.2929342719989996,0.12284886946041906
24,2.4596375345646657,2.335588759212561,0.1240487753521049
25,2.527804157947872,2.3930514729322416,0.1347526850156302
26,2.550978033648577,2.4035334318887345,0.14744460175984253
27,2.372833247197241,2.25874783883131,0.11408540836593106
28,2.5155711611092726,2.3817919940972865,0.1337791670119861
29,2.470812142006152,2.3478703386135082,0.12294180339264393
30,2.467861972014988,2.351833627102567,0.11602834491242131
31,2.593256097432392,2.449520830498789,0.14373526693360317
32,2.423958339306247,2.3047723124610187,0.11918602684522828
33,2.4744844784809445,2.337615162371336,0.13686931610960862
34,2.4318080106533926,2.311245948940541,0.12056206171285178
35,2.5133851280170583,2.379305301007034,0.1340798270100243
