replicate,slot_bits_per_event,matched_trigram_bits_per_event,delta_slot_minus_trigram_bits_per_event
1,2.8058910826997336,2.34646119659849,0.4594298861012436
2,2.836805219360418,2.3837095182872208,0.4530957010731971
3,2.8368723249498577,2.373257791498846,0.46361453345101156
4,2.807941963098936,2.328992101217106,0.47894986188183
5,2.7248777474855146,2.2482616782929306,0.47661606919258404
6,2.782262164094136,2.3100170365971437,0.4722451274969921
7,2.9558363362938285,2.4862322057536126,0.4696041305402159
8,2.7362001889042262,2.2759624371053158,0.46023775179891047
9,2.8038077499798275,2.343187228689678,0.4606205212901493
10,2.7220320556399455,2.257881712581549,0.4641503430583964
11,2.9350207445423697,2.499991496458315,0.43502924808405474
12,2.822370697576237,2.3536294249776146,0.4687412725986224
13,2.8248582993340197,2.3446195142540285,0.4802387850799912
14,2.8489686881948653,2.3753010842319813,0.473667603962884
15,2.9212253360416653,2.5000857087536206,0.42113962728804477
16,2.6578448254592155,2.1803961763113677,0.4774486491478478
17,2.8461741596714156,2.3906607151196777,0.4555134445517379
18,2.8249576694897556,2.3387400027081395,0.48621766678161604
19,2.724009133292319,2.269790448730927,0.454218684561392
20,2.9159603589336287,2.4591250947122387,0.45683526422139
21,2.806551564485318,2.3426883068570397,0.4638632576282782
22,2.804845796524105,2.345351465661799,0.4594943308623063
23,2.7595458082885345,2.2929342719989996,0.4666115362895349
24,2.8075649650671646,2.335588759212561,0.47197620585460376
25,2.861766238893256,2.3930514729322416,0.46871476596101447
26,2.8353777608887647,2.4035334318887345,0.4318443290000302
27,2.721464130052314,2.25874783883131,0.4627162912210041
28,2.8514702280253954,2.3817919940972865,0.4696782339281089
29,2.808350438499478,2.3478703386135082,0.4604800998859697
30,2.8032918587393656,2.351833627102567,0.45145823163679877
31,2.8735710054875017,2.449520830498789,0.42405017498871267
32,2.7813527642027176,2.3047723124610187,0.47658045174169894
33,2.8223629731551325,2.337615162371336,0.4847478107837966
34,2.780397898321619,2.311245948940541,0.4691519493810783
35,2.84168385733476,2.379305301007034,0.46237855632772584
36,2.648952633849172,2.169086646955562,0.4798659868936097
37,2.867516782863259,2.402180975048674,0.46533580781458506
38,2.687213799345629,2.207282693246007,0.4799311060996221
39,2.9045184670587,2.4437976482082524,0.4607208188504477
40,2.7582510244386884,2.290340311149017,0.4679107132896716
41,2.834590908061597,2.36483746669026,0.4697534413713371
42,2.88179040541121,2.4347957906842765,0.44699461472693347
43,2.73387837004173,2.2606613139474483,0.47321705609428166
44,2.8172439170778234,2.365285349742132,0.4519585673356916
45,2.695528129747798,2.2253618719778796,0.4701662577699186
46,2.845856112302448,2.387567087372881,0.458289024929567
47,2.758529398414618,2.3028950181225305,0.45563438029208747
48,2.752224550008694,2.281091827111867,0.47113272289682717
49,2.6962347910595192,2.225506979371696,0.4707278116878233
50,2.80070874850856,2.3456190577872804,0.4550896907212798
51,2.760943011321654,2.2787174325192017,0.4822255788024523
52,2.7358222411746196,2.281321793869923,0.45450044730469674
53,2.899854828116257,2.434148945919557,0.46570588219669995
54,2.8607270078069695,2.3925154364999655,0.4682115713070041
55,2.8180208479932314,2.364852206475574,0.45316864151765746
56,2.778282166024124,2.303029678034811,0.4752524879893132
57,2.886998033459652,2.425206996148757,0.4617910373108951
58,2.791812659967002,2.3175121361196447,0.47430052384735744
59,2.9297847684216833,2.51806846988976,0.4117162985319234
60,2.740998327399654,2.2782660356119266,0.46273229178772723
61,2.8071007193859554,2.3619014567228094,0.445199262663146
62,2.9100061914423017,2.4798837141968644,0.4301224772454373
63,2.857202513171777,2.3993479621269924,0.4578545510447847
64,2.729807033564249,2.2734275643325956,0.4563794692316532
65,2.8375844334364064,2.412199011417534,0.42538542201887264
66,2.7408709513016847,2.2741865737950295,0.46668437750665515
67,2.7811206689499754,2.3175592936311618,0.4635613753188137
68,2.739957982450929,2.2614905001291703,0.47846748232175873
69,2.8359269404283385,2.372528605896255,0.46339833453208357
70,2.8843296032477412,2.435269139089701,0.44906046415804024
71,2.8542977384506503,2.395145922438277,0.4591518160123731
72,2.798860893375815,2.3335240343085064,0.4653368590673086
73,2.847769660780794,2.3813348829648855,0.4664347778159086
74,2.9088256692318684,2.441665239936177,0.46716042929569124
75,2.7734025764979546,2.35832230206371,0.4150802744342448
76,2.79670685428054,2.318242485845543,0.47846436843499696
77,2.7391654338903106,2.270642336348056,0.4685230975422545
78,2.810311059088544,2.335861535985424,0.47444952310311983
79,2.8880081778964755,2.4364994186815037,0.4515087592149718
80,2.7647257677918833,2.3242083404527563,0.440517427339127
81,2.81962338106859,2.371570294051555,0.44805308701703517
82,2.783008445811207,2.320761368024531,0.4622470777866763
83,2.8099485025403936,2.3481798380767294,0.46176866446366427
84,2.767662679540426,2.291758071402483,0.475904608137943
85,2.8327488552330804,2.349101689748707,0.48364716548437325
86,2.791020720854166,2.3394026319394876,0.4516180889146786
87,2.8013713069581474,2.323005327704663,0.47836597925348423
88,2.8070997545655363,2.3348273380587385,0.47227241650679774
89,2.766059628771852,2.3311457933190223,0.4349138354528299
90,2.8511378017641134,2.381886277871708,0.4692515238924053
91,2.7238947283301282,2.2564735538459746,0.46742117448415366
92,2.7524876009410137,2.3055209642396877,0.4469666367013261
93,2.833263622096703,2.3579310623271574,0.4753325597695457
94,2.8551408919498966,2.405832848764079,0.4493080431858174
95,2.867006827357822,2.428530041204835,0.43847678615298724
96,2.8773890777354305,2.411973302969008,0.4654157747664227
97,2.749108875854986,2.284550417858444,0.46455845799654183
98,2.802748219058498,2.3339206039829903,0.4688276150755075
99,2.8189451993336507,2.3430581955852814,0.47588700374836934
100,2.935489545012769,2.4686617266866637,0.4668278183261054
101,2.6785476728970674,2.221704609411535,0.4568430634855325
102,2.6597873420851883,2.183237553510199,0.4765497885749892
103,2.742119046961087,2.293488134833188,0.4486309121278991
104,2.8971700363980784,2.4671898759506097,0.4299801604474687
105,2.8277927779826504,2.3636135164666237,0.46417926151602673
106,2.8883644640496025,2.4201228885333896,0.4682415755162128
107,2.7416024337315785,2.267180461436579,0.4744219722949996
108,2.7211563014415105,2.2796235505279268,0.4415327509135838
109,2.8811836383411094,2.423709529542404,0.45747410879870554
110,2.80533568117001,2.3390629137578225,0.4662727674121876
111,2.7448195169825653,2.2970559398123567,0.44776357717020865
112,2.7334295528795503,2.263102941692403,0.47032661118714714
113,2.9053158926839764,2.455913109667464,0.4494027830165126
114,2.7518133824312447,2.2851253052375573,0.46668807719368743
115,2.7900904992135955,2.3544234211315653,0.4356670780820302
116,2.810099757995571,2.366449466283409,0.44365029171216186
