source_id,language,variant_count,seed,master_key_sha256,parent_phase3a3_master_key_sha256,reserved_test_encoded,train_active_suffix_count,train_active_suffix_counts_json,train_base_form_preservation_fraction,train_base_form_recovery_accuracy,train_cipher_glyph_alphabet_size,train_exact_cipher_token_recurrence_fraction,train_max_realized_surface_forms_per_plaintext_word,train_mean_realized_surface_forms_per_plaintext_word_present,train_plaintext_types_with_multiple_observed_base_forms,train_round_trip_accuracy,train_same_surface_probability_given_same_plaintext_word,train_suffix_entropy_bits,train_suffix_entropy_fraction_of_max,train_token_coverage_fraction,train_token_length_plus_one_accuracy,train_tokens,train_unique_cipher_tokens,train_unique_plaintext_word_types,validation_active_suffix_count,validation_active_suffix_counts_json,validation_base_form_preservation_fraction,validation_base_form_recovery_accuracy,validation_cipher_glyph_alphabet_size,validation_exact_cipher_token_recurrence_fraction,validation_max_realized_surface_forms_per_plaintext_word,validation_mean_realized_surface_forms_per_plaintext_word_present,validation_plaintext_types_with_multiple_observed_base_forms,validation_round_trip_accuracy,validation_same_surface_probability_given_same_plaintext_word,validation_suffix_entropy_bits,validation_suffix_entropy_fraction_of_max,validation_token_coverage_fraction,validation_token_length_plus_one_accuracy,validation_tokens,validation_unique_cipher_tokens,validation_unique_plaintext_word_types
french_profiterole_ud218,French,16,40814041438,f03aefec7a9e745f90eacb0eadc8898d009d904b376e2fcbe76419132cf09ae6,d0fa882539ca63aae8d85c461c80cd3d6241f554785a3212445214f38cb08a41,False,16,"{""V0001"": 886, ""V0002"": 883, ""V0003"": 865, ""V0004"": 882, ""V0005"": 890, ""V0006"": 889, ""V0007"": 894, ""V0008"": 870, ""V0009"": 915, ""V0010"": 878, ""V0011"": 824, ""V0012"": 901, ""V0013"": 832, ""V0014"": 852, ""V0015"": 893, ""V0016"": 902}",1.0,1.0,48,0.48883039271485484,16,2.4430465827949677,0,1.0,0.0625423437726087,3.999454268051457,0.9998635670128643,1.0,1.0,14056,7185,2941,16,"{""V0001"": 194, ""V0002"": 200, ""V0003"": 195, ""V0004"": 166, ""V0005"": 176, ""V0006"": 178, ""V0007"": 199, ""V0008"": 192, ""V0009"": 170, ""V0010"": 183, ""V0011"": 171, ""V0012"": 206, ""V0013"": 181, ""V0014"": 176, ""V0015"": 183, ""V0016"": 184}",1.0,1.0,47,0.2853757616790792,16,1.9121376811594204,0,1.0,0.06310465392579517,3.997220576472251,0.9993051441180627,1.0,1.0,2954,2111,1104
french_profiterole_ud218,French,16,40814041439,1de21b8c71e4ded6a9c64758173d63f0b2dbe7ba0502a5447eadb3896d9118f7,7c98e85345c90c2fd0811d00a61dca814e4ed3bd17b953d4c43f347ad1ff97ae,False,16,"{""V0001"": 916, ""V0002"": 907, ""V0003"": 805, ""V0004"": 886, ""V0005"": 860, ""V0006"": 889, ""V0007"": 859, ""V0008"": 798, ""V0009"": 853, ""V0010"": 929, ""V0011"": 937, ""V0012"": 878, ""V0013"": 848, ""V0014"": 904, ""V0015"": 860, ""V0016"": 927}",1.0,1.0,48,0.48527319294251564,16,2.4600476028561715,0,1.0,0.06252882081129654,3.9984764976005143,0.9996191244001286,1.0,1.0,14056,7235,2941,16,"{""V0001"": 194, ""V0002"": 186, ""V0003"": 167, ""V0004"": 187, ""V0005"": 189, ""V0006"": 214, ""V0007"": 172, ""V0008"": 188, ""V0009"": 177, ""V0010"": 173, ""V0011"": 184, ""V0012"": 185, ""V0013"": 179, ""V0014"": 172, ""V0015"": 197, ""V0016"": 190}",1.0,1.0,47,0.27995937711577523,16,1.9266304347826086,0,1.0,0.06374961811331002,3.9973546936710065,0.9993386734177516,1.0,1.0,2954,2127,1104
french_profiterole_ud218,French,16,40814041440,8e57269f04b133b6c89561dad5b393d76d7a6a7db9cc855d3c8fd1f6553ab1df,5608243719a71003f9401a84f6ec0272d5780eebb22c81a90aa27b6e2d7895cd,False,16,"{""V0001"": 872, ""V0002"": 903, ""V0003"": 881, ""V0004"": 833, ""V0005"": 901, ""V0006"": 904, ""V0007"": 898, ""V0008"": 885, ""V0009"": 912, ""V0010"": 857, ""V0011"": 886, ""V0012"": 846, ""V0013"": 865, ""V0014"": 895, ""V0015"": 820, ""V0016"": 898}",1.0,1.0,48,0.4889015367103017,16,2.442706562393744,0,1.0,0.06203928961179635,3.9993370849576033,0.9998342712394008,1.0,1.0,14056,7184,2941,16,"{""V0001"": 159, ""V0002"": 172, ""V0003"": 190, ""V0004"": 198, ""V0005"": 174, ""V0006"": 171, ""V0007"": 205, ""V0008"": 191, ""V0009"": 189, ""V0010"": 199, ""V0011"": 170, ""V0012"": 173, ""V0013"": 203, ""V0014"": 189, ""V0015"": 166, ""V0016"": 205}",1.0,1.0,47,0.2843601895734597,16,1.914855072463768,0,1.0,0.06330832682711565,3.995388906129265,0.9988472265323163,1.0,1.0,2954,2114,1104
french_profiterole_ud218,French,16,40814041441,963bcdd917bc0959bf5fc4e65209ac755ffcafb26eb8b80a823727725cf8973a,7971f4cf9f025665fffa6a72d9eb4560281c2b5dc0611c54b617d45358ed6cf9,False,16,"{""V0001"": 867, ""V0002"": 852, ""V0003"": 840, ""V0004"": 876, ""V0005"": 890, ""V0006"": 851, ""V0007"": 879, ""V0008"": 807, ""V0009"": 844, ""V0010"": 942, ""V0011"": 949, ""V0012"": 868, ""V0013"": 862, ""V0014"": 870, ""V0015"": 952, ""V0016"": 907}",1.0,1.0,48,0.4851309049516221,16,2.4607276436586196,0,1.0,0.06251124096159073,3.9985389084785368,0.9996347271196342,1.0,1.0,14056,7237,2941,16,"{""V0001"": 194, ""V0002"": 192, ""V0003"": 169, ""V0004"": 180, ""V0005"": 170, ""V0006"": 169, ""V0007"": 183, ""V0008"": 205, ""V0009"": 197, ""V0010"": 178, ""V0011"": 186, ""V0012"": 172, ""V0013"": 201, ""V0014"": 185, ""V0015"": 199, ""V0016"": 174}",1.0,1.0,47,0.2789438050101557,16,1.9293478260869565,0,1.0,0.0605926881428426,3.9970584059639713,0.9992646014909928,1.0,1.0,2954,2130,1104
french_profiterole_ud218,French,16,40814041442,23e237d1fdd4bcb6eacf26a7d051a22789b254a797a58593b40a081186e5f81a,17e2319abcfff2f5c68e86c1bd37e15fbc793d458e37ef747ac6b4e199143a94,False,16,"{""V0001"": 868, ""V0002"": 914, ""V0003"": 863, ""V0004"": 923, ""V0005"": 856, ""V0006"": 874, ""V0007"": 837, ""V0008"": 906, ""V0009"": 854, ""V0010"": 852, ""V0011"": 896, ""V0012"": 900, ""V0013"": 876, ""V0014"": 928, ""V0015"": 894, ""V0016"": 815}",1.0,1.0,48,0.4873363688104724,16,2.4501870112206734,0,1.0,0.06265728894376206,3.9990983423054383,0.9997745855763596,1.0,1.0,14056,7206,2941,16,"{""V0001"": 166, ""V0002"": 211, ""V0003"": 175, ""V0004"": 178, ""V0005"": 186, ""V0006"": 210, ""V0007"": 184, ""V0008"": 203, ""V0009"": 194, ""V0010"": 192, ""V0011"": 179, ""V0012"": 173, ""V0013"": 161, ""V0014"": 184, ""V0015"": 158, ""V0016"": 200}",1.0,1.0,47,0.2789438050101557,16,1.9293478260869565,0,1.0,0.06171288910010523,3.994738514666403,0.9986846286666008,1.0,1.0,2954,2130,1104
german_rem_v21,German,4,40814041438,19156c905029cf0363647a62d3d775f8bcf2c3472cefc31d644732ddd4aaa292,c37d5c2787574baa2e44f4abc0b9f834e6b0edd1ad11d779a079137ef8ae904c,False,4,"{""V0001"": 3560, ""V0002"": 3623, ""V0003"": 3540, ""V0004"": 3414}",1.0,1.0,48,0.6260168352550046,4,1.584832134292566,0,1.0,0.2502419088377362,1.9996660208821946,0.9998330104410973,1.0,1.0,14137,5287,3336,4,"{""V0001"": 768, ""V0002"": 716, ""V0003"": 735, ""V0004"": 744}",1.0,1.0,44,0.4357070536618292,4,1.4193548387096775,0,1.0,0.25072385088671734,1.9995409279250453,0.9997704639625227,1.0,1.0,2963,1672,1178
german_rem_v21,German,4,40814041439,51ae07c7fa954ff506c97430c2aa9a8711319dc2dfeb2748d14b6821d104b3c1,a25f75425bd61001e06bc4939d6baa2d22d7350fcff0def30960e1d520500440,False,4,"{""V0001"": 3476, ""V0002"": 3536, ""V0003"": 3622, ""V0004"": 3503}",1.0,1.0,48,0.6264412534483979,4,1.5830335731414868,0,1.0,0.25053888635398147,1.9998262961641728,0.9999131480820864,1.0,1.0,14137,5281,3336,4,"{""V0001"": 762, ""V0002"": 750, ""V0003"": 726, ""V0004"": 725}",1.0,1.0,44,0.4326695916301046,4,1.4269949066213923,0,1.0,0.25126673905175534,1.9996708924845952,0.9998354462422976,1.0,1.0,2963,1681,1178
german_rem_v21,German,4,40814041440,153c434c352df8d954c123b2dc7047319342e5ccefbb25fc84202421a85cb6ad,cffa07927909bff8b741f6b9bb216d0ca07baa2e4bf7c38137cdf287ddf84160,False,4,"{""V0001"": 3543, ""V0002"": 3457, ""V0003"": 3563, ""V0004"": 3574}",1.0,1.0,48,0.6269364080073566,4,1.580935251798561,0,1.0,0.24984266091854557,1.9998774763634062,0.9999387381817031,1.0,1.0,14137,5274,3336,4,"{""V0001"": 766, ""V0002"": 738, ""V0003"": 703, ""V0004"": 756}",1.0,1.0,44,0.4326695916301046,4,1.4269949066213923,0,1.0,0.2515834238146942,1.9992378799365733,0.9996189399682867,1.0,1.0,2963,1681,1178
german_rem_v21,German,4,40814041441,b77ed752eb084b31baa7b3ce1dd4581b8bc50e6fcebd317800024872ade52ec1,31ee1a0a9dd94a1540671895560eb2352d4c3d3b87da4f49a244f4918ec812f2,False,4,"{""V0001"": 3525, ""V0002"": 3581, ""V0003"": 3482, ""V0004"": 3549}",1.0,1.0,48,0.6259460988894391,4,1.5851318944844124,0,1.0,0.24958305143414572,1.9999246004522977,0.9999623002261488,1.0,1.0,14137,5288,3336,4,"{""V0001"": 753, ""V0002"": 714, ""V0003"": 769, ""V0004"": 727}",1.0,1.0,44,0.4434694566317921,4,1.399830220713073,0,1.0,0.24855229822656533,1.9993913536454104,0.9996956768227052,1.0,1.0,2963,1649,1178
german_rem_v21,German,4,40814041442,51391c0838c5e1cff56cfb23b6480945bfb7e50ab788bee4ae8f1a7cf49b783b,effd6dff2eb82be44f5144da92aea17546d49318cee191d360e79eb2b08998a6,False,4,"{""V0001"": 3586, ""V0002"": 3474, ""V0003"": 3503, ""V0004"": 3574}",1.0,1.0,48,0.6277145080285775,4,1.5776378896882495,0,1.0,0.2499390311059364,1.9998719460273888,0.9999359730136944,1.0,1.0,14137,5263,3336,4,"{""V0001"": 756, ""V0002"": 726, ""V0003"": 740, ""V0004"": 741}",1.0,1.0,44,0.4272696591292609,4,1.4405772495755518,0,1.0,0.24678791169019182,1.9998518981645423,0.9999259490822712,1.0,1.0,2963,1697,1178
