view,order,leaf_group,folio,locus,total_bits,total_events,glyph_bits,glyph_events,boundary_bits,boundary_events,oov_events,bits_per_event,glyph_bits_per_glyph
token_reset_eot,3,f102,f102r1,"f102r1.1,@Lc",27.39559524124693,7,23.841278812468847,6,3.5543164287780815,1,0,3.913656463035276,3.9735464687448077
token_reset_eot,3,f102,f102r1,"f102r1.10,+P0",107.19766554591182,48,103.18727518132343,39,4.010390364588386,9,0,2.2332846988731627,2.6458275687518826
token_reset_eot,3,f102,f102r1,"f102r1.11,+P0",102.63475665498348,46,97.2920872781627,38,5.342669376820787,8,0,2.2311903620648583,2.5603180862674395
token_reset_eot,3,f102,f102r1,"f102r1.12,@Lc",40.34154242084219,7,34.44032854875695,6,5.901213872085238,1,0,5.763077488691741,5.740054758126159
token_reset_eot,3,f102,f102r1,"f102r1.13,@P0",119.43883642001296,48,117.63443641487214,41,1.8044000051408227,7,0,2.4883090920836035,2.8691325954846865
token_reset_eot,3,f102,f102r1,"f102r1.14,+P0",130.88411489261242,51,122.63947971147974,40,8.244635181132658,11,0,2.5663551939727927,3.0659869927869936
token_reset_eot,3,f102,f102r1,"f102r1.15,+P0",101.75453612292162,45,99.62589903018105,36,2.128637092740588,9,0,2.2612119138427027,2.7673860841716955
token_reset_eot,3,f102,f102r1,"f102r1.16,+P0",140.29829411899675,51,136.04733388746573,41,4.2509602315310175,10,0,2.75094694350974,3.318227655791847
token_reset_eot,3,f102,f102r1,"f102r1.17,+P0",73.41513633282582,31,72.9627844828421,25,0.45235184998373884,6,0,2.368230204284704,2.9185113793136837
token_reset_eot,3,f102,f102r1,"f102r1.2,@Lf",28.097237338826158,10,27.777054007383544,9,0.3201833314426132,1,0,2.809723733882616,3.086339334153727
token_reset_eot,3,f102,f102r1,"f102r1.3,@P0",101.5845817924649,42,100.13626870899772,35,1.4483130834671798,7,0,2.418680518868212,2.861036248828506
token_reset_eot,3,f102,f102r1,"f102r1.4,+P0",110.30119403133034,44,109.72294615700315,38,0.5782478743271944,6,0,2.5068453188938715,2.8874459515000828
token_reset_eot,3,f102,f102r1,"f102r1.5,+P0",133.5014494772149,53,124.19245278445712,43,9.308996692757791,10,0,2.518895273154998,2.8881965763827235
