leaf_group,feature,feature_value,comparison_group,other_mean,other_median,other_population_sd,descriptive_z_vs_others,percentile_rank_among_all15
f57,readable_token_count,284.0,other_14,392.64285714285717,220.5,312.4037239449842,-0.34776428325159686,0.6333333333333333
f57,readable_glyph_count,797.0,other_14,1577.5714285714287,840.5,1309.1768795853432,-0.5962306856646138,0.36666666666666664
f57,mean_token_length_glyphs,2.806338028169014,other_14,3.898905406763902,3.961313714446635,0.30224623854447397,-3.6148253948712834,0.03333333333333333
f57,token_length_variance_population,3.98714292799048,other_14,2.0578249421054946,1.9904143908053362,0.4014591816699655,4.805763758745099,0.9666666666666667
f57,boundary_density_per_glyph,0.32747804265997493,other_14,0.21788749521291037,0.21656390724695584,0.021736621019141655,5.0417471671681255,0.9666666666666667
f57,vocabulary_size_exact_tokens,155.0,other_14,218.35714285714286,153.5,126.8512104468725,-0.4994602939455429,0.5
f57,type_token_ratio,0.545774647887324,other_14,0.6547788610853654,0.6687830022630123,0.1405679114647098,-0.7754558779612191,0.23333333333333334
f57,repeated_token_occurrence_fraction,0.573943661971831,other_14,0.47615657921095317,0.4817073170731707,0.15298159974544231,0.6392081330277182,0.7666666666666667
f57,singleton_token_occurrence_fraction,0.426056338028169,other_14,0.5238434207890469,0.5182926829268293,0.1529815997454423,-0.6392081330277186,0.23333333333333334
f57,singleton_type_fraction,0.7806451612903226,other_14,0.7862838107457154,0.7793200249532127,0.06720315885831295,-0.0839045299534359,0.5
f57,adjacent_exact_repeat_fraction,0.0038314176245210726,other_14,0.009251652599112115,0.011023382933495293,0.0076889021347356585,-0.7049426406540403,0.3
f57,within_transition_conditional_entropy_bits,2.271394899640417,other_14,2.065686654098229,2.0924046860739365,0.14482138755737622,1.4204272518842538,0.9
f57,across_transition_conditional_entropy_bits,2.592694128975029,other_14,2.4880385763432464,2.4417132026831294,0.19159733728303313,0.5462265505140216,0.7
f57,conditional_entropy_gap_across_minus_within_bits,0.32129922933461197,other_14,0.42235192224501733,0.43147773558661373,0.256142102202423,-0.3945180899255126,0.36666666666666664
f57,within_transition_pair_entropy_bits,5.919646491835568,other_14,5.551865108687225,5.611522540404824,0.18157223555768395,2.025537560953267,0.9666666666666667
f57,across_transition_pair_entropy_bits,6.449863207502351,other_14,5.08583775747877,5.043820212502183,0.3006808660199988,4.536455771458558,0.9666666666666667
f57,pair_entropy_gap_across_minus_within_bits,0.530216715666783,other_14,-0.4660273512084547,-0.405442007072371,0.2833588581474261,3.515838796742014,0.9666666666666667
f57,boundary_boost_bits_per_event,0.1570116993157174,other_14,0.044278521747052206,0.046750374152064095,0.018069306047776883,6.238932323720039,0.9666666666666667
f57,space_free_delta_bits_per_event,-0.3289650914428249,other_14,0.021489007039149768,0.03272079544618261,0.06435826800022139,-5.445362489878831,0.03333333333333333
f57,token_aware_delta_bits_per_event,-0.17195339212710747,other_14,0.06576752878620197,0.07282586043234601,0.0631148748332855,-3.7664801133050854,0.03333333333333333
f49,readable_token_count,283.0,other_14,392.7142857142857,220.5,312.3787601549093,-0.35122197699958274,0.5666666666666667
f49,readable_glyph_count,1017.0,other_14,1561.857142857143,828.5,1317.1075374873997,-0.41367703649813437,0.6333333333333333
f49,mean_token_length_glyphs,3.5936395759717317,other_14,3.8426695819208514,3.961313714446635,0.408409872850052,-0.6097551075621311,0.23333333333333334
f49,token_length_variance_population,2.806602654546824,other_14,2.1421492473514703,1.9904143908053362,0.616350099566394,1.078045428503704,0.8333333333333334
f49,boundary_density_per_glyph,0.20648967551622419,other_14,0.226529521437464,0.22021895367600103,0.03530411030380376,-0.5676349226418732,0.23333333333333334
f49,vocabulary_size_exact_tokens,177.0,other_14,216.78571428571428,152.0,127.48847486925945,-0.3120730272012029,0.6333333333333333
f49,type_token_ratio,0.6254416961130742,other_14,0.6490883576406691,0.6687830022630123,0.1432277486841105,-0.16509832588200277,0.36666666666666664
f49,repeated_token_occurrence_fraction,0.5265017667844523,other_14,0.47954528601005164,0.4817073170731707,0.15457639974637932,0.3037752260464359,0.5666666666666667
f49,singleton_token_occurrence_fraction,0.4734982332155477,other_14,0.5204547139899484,0.5182926829268293,0.1545763997463793,-0.30377522604643636,0.43333333333333335
f49,singleton_type_fraction,0.7570621468926554,other_14,0.7879683117741204,0.7831797235023041,0.06674357484584077,-0.46305827868599686,0.3
f49,adjacent_exact_repeat_fraction,0.014285714285714285,other_14,0.008504917123312599,0.007856385797562268,0.007671373505485995,0.753554387394603,0.7666666666666667
f49,within_transition_conditional_entropy_bits,2.1282014580452504,other_14,2.075914757069312,2.0924046860739365,0.15366207460870202,0.3402706953494249,0.5666666666666667
f49,across_transition_conditional_entropy_bits,2.32748588441615,other_14,2.5069820223831663,2.4857838834343466,0.1878611217470351,-0.955472512341949,0.16666666666666666
f49,conditional_entropy_gap_across_minus_within_bits,0.1992844263708995,other_14,0.431067265313854,0.43147773558661373,0.25041565581064573,-0.9255924442608308,0.16666666666666666
f49,within_transition_pair_entropy_bits,5.479315845834605,other_14,5.583317297687294,5.622656150431734,0.2031377192422696,-0.511975088824606,0.3
f49,across_transition_pair_entropy_bits,5.069579563226721,other_14,5.1844294463556,5.093155183219757,0.46213343531317613,-0.24852104252324447,0.5
f49,pair_entropy_gap_across_minus_within_bits,-0.4097362826078834,other_14,-0.3988878513316928,-0.3821162958422386,0.38268944673909816,-0.028347871540828323,0.43333333333333335
f49,boundary_boost_bits_per_event,0.06180864967209372,other_14,0.05107873957873962,0.046750374152064095,0.03414785075700483,0.3142191925842669,0.7666666666666667
