source_id,language,family,control_seed,relation,competitor,selected_hyperparameter,bootstrap_units,bootstrap_replicates,bootstrap_seed,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event,relative_nll_reduction_trigram_vs_competitor,ci_95_lower,ci_95_upper,bootstrap_probability_trigram_better,bootstrap_probability_competitor_better,direction_match_voynich,strong_direction_match_voynich
italian_old_ud218,Italian,homophonic,40814041438,hmm_space_free,categorical_hmm,16,109,10000,521569147360929199,5.069953875096554,5.124032271582409,-0.05407839648585444,-0.01066644743090972,-0.07721889105056227,-0.03010685222393756,0.0,1.0,False,False
italian_old_ud218,Italian,homophonic,40814041438,hmm_token_aware,categorical_hmm,16,109,10000,6052157072798324332,4.425376323966883,4.256169987934018,0.1692063360328646,0.03823546827339408,0.14511449936687648,0.1934685715726783,1.0,0.0,True,True
italian_old_ud218,Italian,homophonic,40814041438,slot_grammar,finite_template_slot_grammar,16,109,10000,8953349940037097734,4.561754031496069,4.2377861884245895,0.32396784307147986,0.07101826201822437,0.2993605796710808,0.348554614802831,1.0,0.0,True,True
italian_old_ud218,Italian,homophonic,40814041438,token_markov,exact_token_markov,1,109,10000,7998085704105127631,4.416918716023294,4.2377861884245895,0.17913252759870435,0.04055599369507612,0.16981365894421085,0.18822860843407255,1.0,0.0,True,True
italian_old_ud218,Italian,homophonic,40814041438,copy_edit,local_copy_edit,16,109,10000,536542812712834256,5.125882295458829,4.2377861884245895,0.8880961070342392,0.17325721814194395,0.8579382157883523,0.9198933270904353,1.0,0.0,True,True
