source_id,language,variant_count,seed,reserved_test_encoded,train_cipher_glyph_alphabet_size,train_exact_cipher_token_recurrence_fraction,train_family_code_collision_count,train_max_realized_variants_per_target_word,train_mean_pairwise_hamming_distance_within_active_variant_family,train_mean_realized_variants_per_target_word_present,train_round_trip_accuracy,train_same_surface_probability_given_same_target_plaintext_word,train_targeted_token_fraction,train_targeted_tokens,train_targeted_variant_utilization_fraction,train_tokens,train_unique_cipher_tokens,validation_cipher_glyph_alphabet_size,validation_exact_cipher_token_recurrence_fraction,validation_family_code_collision_count,validation_max_realized_variants_per_target_word,validation_mean_pairwise_hamming_distance_within_active_variant_family,validation_mean_realized_variants_per_target_word_present,validation_round_trip_accuracy,validation_same_surface_probability_given_same_target_plaintext_word,validation_targeted_token_fraction,validation_targeted_tokens,validation_targeted_variant_utilization_fraction,validation_tokens,validation_unique_cipher_tokens
german_rem_v21,German,1,40814041440,False,60,0.7640234844733678,0,1,,1.0,1.0,1.0,0.43750442102284787,6185,1.0,14137,3336,56,0.6024299696253796,0,1,,1.0,1.0,1.0,0.42996962537968275,1274,1.0,2963,1178
german_rem_v21,German,1,40814041441,False,60,0.7640234844733678,0,1,,1.0,1.0,1.0,0.43750442102284787,6185,1.0,14137,3336,56,0.6024299696253796,0,1,,1.0,1.0,1.0,0.42996962537968275,1274,1.0,2963,1178
german_rem_v21,German,1,40814041442,False,60,0.7640234844733678,0,1,,1.0,1.0,1.0,0.43750442102284787,6185,1.0,14137,3336,56,0.6024299696253796,0,1,,1.0,1.0,1.0,0.42996962537968275,1274,1.0,2963,1178
german_rem_v21,German,2,40814041438,False,60,0.7594963570771733,0,2,1.0,2.0,1.0,0.5020108240020585,0.43750442102284787,6185,1.0,14137,3400,56,0.5818427269659129,0,2,1.0,1.953125,1.0,0.498342222862909,0.42996962537968275,1274,0.9765625,2963,1239
german_rem_v21,German,2,40814041439,False,60,0.7594963570771733,0,2,1.0,2.0,1.0,0.5010998314975139,0.43750442102284787,6185,1.0,14137,3400,56,0.5811677354033075,0,2,1.0,1.984375,1.0,0.5037720436307722,0.42996962537968275,1274,0.9921875,2963,1241
german_rem_v21,German,2,40814041440,False,60,0.7594963570771733,0,2,1.0,2.0,1.0,0.5017161521668756,0.43750442102284787,6185,1.0,14137,3400,56,0.5815052311846102,0,2,1.0,1.96875,1.0,0.5093460189322955,0.42996962537968275,1274,0.984375,2963,1240
german_rem_v21,German,2,40814041441,False,60,0.7594963570771733,0,2,1.0,2.0,1.0,0.500902691889469,0.43750442102284787,6185,1.0,14137,3400,56,0.5811677354033075,0,2,1.0,1.984375,1.0,0.5030993224736918,0.42996962537968275,1274,0.9921875,2963,1241
german_rem_v21,German,2,40814041442,False,60,0.7594963570771733,0,2,1.0,2.0,1.0,0.49954761647838103,0.43750442102284787,6185,1.0,14137,3400,56,0.5815052311846102,0,2,1.0,1.96875,1.0,0.5005525923790303,0.42996962537968275,1274,0.984375,2963,1240
german_rem_v21,German,4,40814041438,False,60,0.7504421022847846,0,4,1.0,4.0,1.0,0.25143600640807484,0.43750442102284787,6185,1.0,14137,3528,56,0.5430307121160985,0,4,1.0,3.75,1.0,0.2515977127480659,0.42996962537968275,1274,0.9375,2963,1354
german_rem_v21,German,4,40814041439,False,60,0.7504421022847846,0,4,1.0,4.0,1.0,0.2505810430552904,0.43750442102284787,6185,1.0,14137,3528,56,0.5433682078974013,0,4,1.0,3.734375,1.0,0.25376003075296716,0.42996962537968275,1274,0.93359375,2963,1353
