variant_count,relation,runs,mean_delta_bits_per_event,median_delta_bits_per_event,sd_delta_bits_per_event,min_delta_bits_per_event,max_delta_bits_per_event,positive_direction_runs,strong_direction_runs,note
1,hmm_space_free,20,0.3822384746884697,0.38055326061086814,0.014912722612756252,0.35868923287139465,0.4134283804199219,20,20,Exploratory descriptive summary only; no automatic winner threshold.
1,hmm_token_aware,20,0.3709545049496206,0.3569795496478523,0.040688718635149654,0.3226304178015429,0.4457783905660153,20,20,Exploratory descriptive summary only; no automatic winner threshold.
1,slot_grammar,20,0.6400395668186166,0.6150553999449575,0.06234542091447846,0.5754486313352749,0.750620459117441,20,20,Exploratory descriptive summary only; no automatic winner threshold.
1,token_markov,20,-0.40885934891291176,-0.4347253301093137,0.11444106227279718,-0.5187150035914128,-0.2472493236352049,0,0,Exploratory descriptive summary only; no automatic winner threshold.
1,copy_edit,20,1.4066708968038193,1.4310133614320126,0.09654526041202043,1.2515489569092129,1.5168302322289233,20,20,Exploratory descriptive summary only; no automatic winner threshold.
2,hmm_space_free,20,0.3380181522172392,0.3320864017385181,0.0228233701076442,0.30402723518931607,0.38614160030485767,20,20,Exploratory descriptive summary only; no automatic winner threshold.
2,hmm_token_aware,20,0.3665018394208299,0.34724861370410043,0.039542292192262164,0.32094698680102063,0.4482343601281844,20,20,Exploratory descriptive summary only; no automatic winner threshold.
2,slot_grammar,20,0.6357252133854066,0.6113848976719494,0.0636386191521473,0.5701575670851571,0.7512361599020481,20,20,Exploratory descriptive summary only; no automatic winner threshold.
2,token_markov,20,-0.3714393000093196,-0.3858430540731792,0.115310326267649,-0.49902598941085596,-0.2063502435904816,0,0,Exploratory descriptive summary only; no automatic winner threshold.
2,copy_edit,20,1.3798184314725357,1.398663450148227,0.07771419786815888,1.251568702435033,1.4746448950838902,20,20,Exploratory descriptive summary only; no automatic winner threshold.
4,hmm_space_free,20,0.2795038636319767,0.2780798738357697,0.02618050787066685,0.23485112345508297,0.3322403658162232,20,20,Exploratory descriptive summary only; no automatic winner threshold.
4,hmm_token_aware,20,0.35463611834093955,0.3375316584387724,0.04004623212343296,0.31084372150118744,0.42667646102826273,20,20,Exploratory descriptive summary only; no automatic winner threshold.
4,slot_grammar,20,0.6314369798582581,0.6091362925407982,0.06530855162716369,0.5672208732050321,0.7455474704189453,20,20,Exploratory descriptive summary only; no automatic winner threshold.
4,token_markov,20,-0.3290337874243656,-0.3309131504890186,0.11728720704440722,-0.4765349550501834,-0.16527636639837118,0,0,Exploratory descriptive summary only; no automatic winner threshold.
4,copy_edit,20,1.3351535159856287,1.3482951749625183,0.05947862400414237,1.239139623472461,1.407710658240577,20,20,Exploratory descriptive summary only; no automatic winner threshold.
